"","Title","Summary","Organism","Type","Platforms","Contains","FTP download","Series Accession","ID","SRA Run Selector","Datasets","Citation","PMID","Contributor","Date","Abstract","Tissue","DevelopmentalStage","ManipulatedVariables","Notes","ManipulationUnrelatedToTopic","WrongTissue","NotBulkDissection_ParticularCellTypeOrSubRegion","IncorrectDevelopmentalStage","NotFullTranscriptome","MetadataIssues_MissingInfo_Retracted_Duplicated","Excluded","WhyExcluded"
"1","Transcriptomic profiling of morphine and LPS exposure across mouse brain regions","We profiled genome-wide gene expression across four brain regions (hippocampus, prefrontal cortex, striatum, and hypothalamus) in male and female C57BL/6NTac mice using a perinatal morphine exposure model of Neonatal Opioid Withdrawal Syndrome (NOWS). Mice received morphine or saline perinatally, then were challenged with LPS or saline in adulthood, yielding four groups (SAL-SAL, SAL-LPS, MOR-SAL, MOR-LPS). more...","Mus musculus","Expression profiling by high throughput sequencing","GPL34290","208 Samples","GEO (TSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE332nnn/GSE332798/","GSE332798",200332798,NA,NA,"","","Yanmiao,,Du Julia R.,,Ferrante Xin,,Zhang Jacob D.,,Neice Toby K.,,Eisenstein Wei,,Wang Chang,,Lu Julie A.,,Blendy","May 21 2026","We profiled genome-wide gene expression across four brain regions (hippocampus, prefrontal cortex, striatum, and hypothalamus) in male and female C57BL/6NTac mice using a perinatal morphine exposure model of Neonatal Opioid Withdrawal Syndrome (NOWS). Mice received morphine or saline perinatally, then were challenged with LPS or saline in adulthood, yielding four groups (SAL-SAL, SAL-LPS, MOR-SAL, MOR-LPS). NeuN+ neuronal nuclei (~5,000 per sample) were isolated by FACS from PFC, hippocampus, hypothalamus, and striatum and profiled by RNA-seq (Illumina NovaSeq X Plus, paired-end 150 bp). RNA-seq identified differentially expressed genes enriched in immune and metabolic pathways, with the hypothalamus displaying the most pronounced transcriptional response to perinatal morphine exposure.","","","","","","","","","","","",""
"2","Broad therapeutic benefit of myosin inhibition in hypertrophic cardiomyopathy [RNASeq_LSM]","Myosin inhibitor mavacamten is the first targeted treatment available for hypertrophic cardiomyopathy (HCM), a disease caused by hundreds of genetic variants that affect mainly sarcomeric myosin and its negative regulator cardiac myosin-binding protein C (cMyBP-C, encoded by MYBPC3). Here, we have examined whether the reported limited efficacy of mavacamten in a fraction of HCM patients can result from dissimilar HCM pathomechanisms triggered by different genetic variants, a scenario particularly relevant for MYBPC3-associated HCM. more...","Mus musculus","Expression profiling by high throughput sequencing","GPL21103","16 Samples","GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE326nnn/GSE326721/","GSE326721",200326721,NA,NA,"","","Laura,,Sen Martín Lucía,,Sánchez García Jon,,Sicilia Fàtima,,Sánchez Cabo","Apr 01 2026","Myosin inhibitor mavacamten is the first targeted treatment available for hypertrophic cardiomyopathy (HCM), a disease caused by hundreds of genetic variants that affect mainly sarcomeric myosin and its negative regulator cardiac myosin-binding protein C (cMyBP-C, encoded by MYBPC3). Here, we have examined whether the reported limited efficacy of mavacamten in a fraction of HCM patients can result from dissimilar HCM pathomechanisms triggered by different genetic variants, a scenario particularly relevant for MYBPC3-associated HCM. To this aim, we have generated knock-in mice including missense pathogenic variant cMyBP-C p.R502W, which, different from patients who carry truncations in the protein, develop progressive pathogenic myocardial remodeling in the absence of alterations of cMyBP-C levels and localization. Mechanistically, mutation R502W reduces the binding affinity of cMyBP-C for myosin, increases Ca2+ sensitivity and promotes the ON structural state of myosin heads without inducing a shift towards more active myosin conformations as observed when cMyBP-C levels are reduced. Despite these differences, we demonstrate that mavacamten blunts myocardial remodeling both in R502W and cMyBP-C-deficient, knock-out hearts, correlating with its ability to normalize the levels of ON myosins in R502W sarcomeres. These beneficial effects are accompanied by improved tolerance to exercise in R502W animals. In human engineered heart tissues carrying R502W, we show that mavacamten opposes hypercontractility induced by the mutation. Hence, in combination our results indicate that myosin inhibition is effective to treat HCM caused by both truncating and missense variants in MYBPC3 regardless of the primary pathomechanisms they elicit.","","","","","","","","","","","",""
"3","Broad therapeutic benefit of myosin inhibition in hypertrophic cardiomyopathy [RNASeq_MAVA]","Myosin inhibitor mavacamten is the first targeted treatment available for hypertrophic cardiomyopathy (HCM), a disease caused by hundreds of genetic variants that affect mainly sarcomeric myosin and its negative regulator cardiac myosin-binding protein C (cMyBP-C, encoded by MYBPC3). Here, we have examined whether the reported limited efficacy of mavacamten in a fraction of HCM patients can result from dissimilar HCM pathomechanisms triggered by different genetic variants, a scenario particularly relevant for MYBPC3-associated HCM. more...","Mus musculus","Expression profiling by high throughput sequencing","GPL24247","13 Samples","GEO (CSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE326nnn/GSE326720/","GSE326720",200326720,NA,NA,"","","Laura,,Sen Martín Lucía,,Sánchez García Jon,,Sicilia Fàtima,,Sánchez Cabo","Apr 01 2026","Myosin inhibitor mavacamten is the first targeted treatment available for hypertrophic cardiomyopathy (HCM), a disease caused by hundreds of genetic variants that affect mainly sarcomeric myosin and its negative regulator cardiac myosin-binding protein C (cMyBP-C, encoded by MYBPC3). Here, we have examined whether the reported limited efficacy of mavacamten in a fraction of HCM patients can result from dissimilar HCM pathomechanisms triggered by different genetic variants, a scenario particularly relevant for MYBPC3-associated HCM. To this aim, we have generated knock-in mice including missense pathogenic variant cMyBP-C p.R502W, which, different from patients who carry truncations in the protein, develop progressive pathogenic myocardial remodeling in the absence of alterations of cMyBP-C levels and localization. Mechanistically, mutation R502W reduces the binding affinity of cMyBP-C for myosin, increases Ca2+ sensitivity and promotes the ON structural state of myosin heads without inducing a shift towards more active myosin conformations as observed when cMyBP-C levels are reduced. Despite these differences, we demonstrate that mavacamten blunts myocardial remodeling both in R502W and cMyBP-C-deficient, knock-out hearts, correlating with its ability to normalize the levels of ON myosins in R502W sarcomeres. These beneficial effects are accompanied by improved tolerance to exercise in R502W animals. In human engineered heart tissues carrying R502W, we show that mavacamten opposes hypercontractility induced by the mutation. Hence, in combination our results indicate that myosin inhibition is effective to treat HCM caused by both truncating and missense variants in MYBPC3 regardless of the primary pathomechanisms they elicit.","","","","","","","","","","","",""
"4","Translational reprogramming of dentate gyrus peptidergic circuitry gates antidepressant efficacy","elective serotonin reuptake inhibitors (SSRIs) exhibit delayed therapeutic effects despite rapid serotonin elevation, suggesting their dependence on slow neuroplastic adaptations. Here, we demonstrate that antidepressant actions require cell type-specific translational regulation of the peptidergic signaling in the dentate gyrus (DG). Chronic, but not acute, treatment with an SSRI fluoxetine selectively enhances translational activity in hilar mossy cells (MCs), with no detectable changes in neighboring granule cells (GCs). more...","Mus musculus","Expression profiling by high throughput sequencing","GPL17021","34 Samples","GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE309nnn/GSE309750/","GSE309750",200309750,NA,NA,"","41634134","Seo-Jin,,Oh Jin-Hyeok,,Jang Jean-Pierre,,Roussarie Gyeong-un,,Jang Min-seok,,Jeong Chang-Hoon,,Shin Hongsoo,,Choi Kwang,,Lee Yong-Seok,,Oh","Sep 30 2025","elective serotonin reuptake inhibitors (SSRIs) exhibit delayed therapeutic effects despite rapid serotonin elevation, suggesting their dependence on slow neuroplastic adaptations. Here, we demonstrate that antidepressant actions require cell type-specific translational regulation of the peptidergic signaling in the dentate gyrus (DG). Chronic, but not acute, treatment with an SSRI fluoxetine selectively enhances translational activity in hilar mossy cells (MCs), with no detectable changes in neighboring granule cells (GCs). Combining Translating Ribosome Affinity Purification (TRAP) with RNA sequencing revealed distinct baseline translatomes between these two glutamatergic neurons and identified fluoxetine-induced remodeling of peptidergic pathways in the DG. Crucially, we discovered MC-specific enrichment of the neuropeptide PACAP, which undergoes translation-dependent upregulation by chronic fluoxetine treatment. This PACAP induction mediates neuroadaptive plasticity in PAC1 receptor-expressing GCs and drives behavioral responses prominently in female mice during prolonged SSRI administration. Our findings establish cell type-specific translational reprogramming as a novel mechanistic framework for antidepressant action.","","","","","","","","","","","",""
"5","Hippocampal APOE/S1P axis regulates synaptic and behavioral deficits in a mouse model of autism","Autism spectrum disorder (ASD) is a neurodevelopmental condition of unknown mechanism. Synaptic pathology is a core feature, but the key molecular regulators are unclear. The brain's major apolipoprotein APOE transports lipids including S1P to regulate neuronal function; however, the role of the APOE/S1P axis in ASD is unknown. Here, we found that serum APOE and S1P were elevated in children with ASD. more...","Mus musculus","Expression profiling by high throughput sequencing","GPL24247","9 Samples","GEO (XLSX) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE332nnn/GSE332712/","GSE332712",200332712,NA,NA,"","","Xiaotong,,Chen Yangyang,,Liu Xueting,,Song Jingyi,,Chen Haiyan,,Zhu Qiong,,Sun Zhijie,,Li","May 21 2026","Autism spectrum disorder (ASD) is a neurodevelopmental condition of unknown mechanism. Synaptic pathology is a core feature, but the key molecular regulators are unclear. The brain's major apolipoprotein APOE transports lipids including S1P to regulate neuronal function; however, the role of the APOE/S1P axis in ASD is unknown. Here, we found that serum APOE and S1P were elevated in children with ASD. In the BTBR mouse hippocampus, both were also elevated, with abnormal APOE aggregation on neurons. To test causality, we developed a brain-targeted nanomicelle (MAN@SKI II) that inhibits hippocampal S1P. MAN@SKI II lowered APOE/S1P levels, reactivated the PI3K/Akt/mTOR pathway, repaired synaptic ultrastructure, and improved social and cognitive behaviors in BTBR mice. Together, these findings indicate that the APOE/S1P axis plays a regulatory role in hippocampal synaptic pathology and behavioral deficits in ASD, suggesting a potential mechanistic target for therapeutic intervention.","","","","","","","","","","","",""
"6","RNA sequencing of hippocampus from Hoatz knockout mice exhibiting ventriculomegaly","Hydrocephalus and ventriculomegaly are frequently associated with dysfunction of motile cilia lining the ventricular system. Hoatz is a vertebrate-specific gene expressed in cells bearing motile cilia and flagella, and its deficiency causes ventriculomegaly in mice. However, the molecular responses occurring in the brain parenchyma in this condition remain poorly understood. In this study, we performed bulk RNA sequencing of hippocampal tissue from wild-type and Hoatz-deficient mice to investigate transcriptomic alterations associated with ventriculomegaly. more...","Mus musculus","Expression profiling by high throughput sequencing","GPL28330","6 Samples","GEO (TSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE324nnn/GSE324472/","GSE324472",200324472,NA,NA,"","41923087","Keishi,,Narita Yoshichika,,Yoshioka Sayed,S,Abdali Masahiro,,Ohgidani Shohei,,Komaki Masato,,Hirakawa Atsushi,,Shimizu Tomoyuki,,Saino","Mar 10 2026","Hydrocephalus and ventriculomegaly are frequently associated with dysfunction of motile cilia lining the ventricular system. Hoatz is a vertebrate-specific gene expressed in cells bearing motile cilia and flagella, and its deficiency causes ventriculomegaly in mice. However, the molecular responses occurring in the brain parenchyma in this condition remain poorly understood. In this study, we performed bulk RNA sequencing of hippocampal tissue from wild-type and Hoatz-deficient mice to investigate transcriptomic alterations associated with ventriculomegaly. Hippocampi were collected from male littermate mice at 15, 21, and 25 weeks of age. Total RNA was extracted and subjected to poly(A)-selected, strand-specific RNA sequencing using paired-end reads. Comparative transcriptomic analysis identified differential expression of genes associated with neuroimmune activation, synaptic remodeling, and lipid mediator biosynthesis in Hoatz-deficient mice. Notably, several microglia-associated genes, including Trem2, Tyrobp, and C1qa, were upregulated in mutant hippocampus. Gene ontology enrichment analysis further indicated activation of immune-related pathways. These data provide insight into neuroimmune responses associated with ventriculomegaly and complement structural analyses of the Hoatz-deficient mouse brain. The dataset may serve as a resource for investigating molecular mechanisms linking altered cerebrospinal fluid dynamics and neuroimmune activation.","","","","","","","","","","","",""
"7","The Exercise Hormone Irisin Mediates Neuroprotective Effects in a Mouse Model of Multiple Sclerosis","Aerobic exercise has been considered a disease-modifying intervention in multiple sclerosis (MS) as it not only improves the physical fitness of people with MS but also ameliorates progressive neurological symptoms. However, the exact mechanisms are unknown, and currently, no drug is available that harnesses these therapeutic effects. The novel exercise hormone irisin, the secreted form of FNDC5 (fibronectin-domain III containing 5), is a prime candidate to mediate part of the neuroprotective exercise effects in MS as it is a crucial regulator of cognitive function in exercise, aging, and Alzheimer’s disease. more...","Mus musculus","Expression profiling by high throughput sequencing","GPL34290","12 Samples","GEO (CSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE282nnn/GSE282166/","GSE282166",200282166,NA,NA,"","","","Nov 18 2024","Aerobic exercise has been considered a disease-modifying intervention in multiple sclerosis (MS) as it not only improves the physical fitness of people with MS but also ameliorates progressive neurological symptoms. However, the exact mechanisms are unknown, and currently, no drug is available that harnesses these therapeutic effects. The novel exercise hormone irisin, the secreted form of FNDC5 (fibronectin-domain III containing 5), is a prime candidate to mediate part of the neuroprotective exercise effects in MS as it is a crucial regulator of cognitive function in exercise, aging, and Alzheimer’s disease. Furthermore, irisin is neuroprotective in preclinical models of Alzheimer’s disease and Parkinson’s disease. Here, we show that voluntary wheel-running exercise leads to an ameliorated experimental autoimmune encephalomyelitis (EAE) mouse model of MS. Peripheral delivery of irisin resulting in higher irisin plasma levels improves hippocampal and spinal cord clinical symptoms of EAE and reduces neurodegeneration. Interestingly, peripheral irisin does not alter peripheral and central immune response on a transcriptional level but induces neuroprotective gene programs in neurons, mainly associated with synapses and mitochondria. Accordingly, irisin and voluntary exercise resulted in a rescue of synaptic loss during EAE. Taken together, the exercise hormone irisin confers direct neuroprotective effects in an inflammation-driven neurodegenerative condition such as MS, thereby making it an attractive therapeutic target for MS.","","","","","","","","","","","",""
"8","The exposure of prenatal enriched environment promotes fetal neuronal development via activating AHR-Src pathway","To investigate the effect of maternal enriched environment (EE) exposure on fetal neurodevelopment compared with standard habitation (SH) We divided pregant mice into SH and EE group and then performed gene expression profiling analysis using data obtained from RNA-seq of cortex and hippocampus of fetal brains from SH group and EE group","Mus musculus","Expression profiling by high throughput sequencing","GPL24247","16 Samples","GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE233nnn/GSE233650/","GSE233650",200233650,NA,NA,"","","Xuekun,,Li Yuhan,,Liu Xuejun,,Chen Xin,,Yang Wenzheng,,Qu Jinyu,,Zhang Ying,,Li Kexing,,Xu Qiang,,Shu","May 29 2023","To investigate the effect of maternal enriched environment (EE) exposure on fetal neurodevelopment compared with standard habitation (SH)","","","","","","","","","","","",""
"9","Transcriptomic analysis and experimental verification reveal the involvement of PI3K/AKT signaling pathway in high-altitude cognitive dysfunction","Cognitive impairment is a common symptom for these people entering high altitude. Unfortunately, the potential molecular mechanisms are not totally clear. This study aimed to identify the genes and signaling pathways associated with high-altitude cognitive dysfunction (HACD) in mice. The cognitive function was accessed using novel object recognition test and Morris water maze test. The histological analysis was performed using Hematoxylin-Eosin (HE) staining and Nissl staining. more...","Mus musculus","Expression profiling by high throughput sequencing","GPL24247","8 Samples","GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE290nnn/GSE290548/","GSE290548",200290548,NA,NA,"","42111350","Yu,,Xin Chenyu,,Yang Gege,,Wang Huiping,,Ma","Feb 26 2025","Cognitive impairment is a common symptom for these people entering high altitude. Unfortunately, the potential molecular mechanisms are not totally clear. This study aimed to identify the genes and signaling pathways associated with high-altitude cognitive dysfunction (HACD) in mice. The cognitive function was accessed using novel object recognition test and Morris water maze test. The histological analysis was performed using Hematoxylin-Eosin (HE) staining and Nissl staining. Hippocampus tissue was collected, and the gene levels were accessed via RNA-Seq technique. Differentially expressed genes (DEGs) were identified using the DESeq2 R package, followed by functional and pathway enrichment analyses. The protein-protein interaction (PPI) network was established for screening hub genes, which were subsequently validated by qRT-PCR. The related proteins were detected by Western blot. HH exposure led to pathological changes in hippocampal tissue, accompanied by increased oxidative stress and inflammatory response and then induced impaired cognitive function in mice. In the HACD mice, 695 DEGs (265 upregulated and 430 downregulated genes) were found, in comparison to the control. GO and KEGG enrichment analysis demonstrated that PI3K/AKT signaling pathway is a significantly enriched pathway, suggesting its potential involvement in the pathogenesis of HACD. Then, we performed validation experiments via qRT-PCR for five DEGs (VWF, VEGFa, ANGPT2, THBS1, SPP1) closely related to PI3K/AKT signaling pathway, and the results aligned with the RNA-seq data. Furthermore, Western blot analysis indicated that the PI3K/AKT pathway was substantially inhibited following HH exposure. Our results provide further understanding of the role of the PI3K/AKT signaling pathway in the development of HACD and offer potential therapeutic targets for developing novel treatment strategies for HACD.","","","","","","","","","","","",""
"10","Cilia beating of ependymal cells regulates adult neural stem cell quiescence via mechanical forces mediated by PKD1/2-TRPM3","In many tissues stem cells are located lining a fluid-filled volume and their neighboring niche cells include cells with beating cilia. The role of mechanical forces created by cilia beating on stem cells remains elusive. We developed an approach to transiently inhibit the cilia beating of ependymal cells (EC) lining the forebrain ventricle by injecting magnetic beads-coupled antibodies specifically targeting EC cilia and then applying a magnetic field. more...","Mus musculus","Expression profiling by high throughput sequencing","GPL24247","6 Samples","GEO (H5) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319498/","GSE319498",200319498,NA,NA,"","","Cedric,,Bressan Archana,,Gengatharan Raquel,,Rodriguez-Aller Maria,,Richter Marina,,Snapyan Judith,,Fischer-Sternjak Maryam,,Rezaeezadeh Roukerd Nicole,,Rosin Abigael,,Cherinet Jeff,,Biernaskie Ehsan,,Habibi Magdalena,,Götz Armen,,Saghatelyan","Feb 13 2026","In many tissues stem cells are located lining a fluid-filled volume and their neighboring niche cells include cells with beating cilia. The role of mechanical forces created by cilia beating on stem cells remains elusive. We developed an approach to transiently inhibit the cilia beating of ependymal cells (EC) lining the forebrain ventricle by injecting magnetic beads-coupled antibodies specifically targeting EC cilia and then applying a magnetic field. We show that EC cilia beating enforces neural stem cells (NSCs) quiescence through mechano-sensitive PKD1/2- and TRPM3-mediated Ca2+ transients, and that only a few hours of EC cilia beating inhibition triggered NSCs activation in vivo. CRISPR-Cas9-mediated deletion of TRPM3 or PKD1/2 in NSCs phenocopied the effect of EC cilia beating inhibition, while TRPM3 pharmacological activation rescued NSC quiescence in the absence of cilia beating. Our data reveal a novel regulator of stem cells exposed to fluids via the mechanical forces mediated by cilia beating.","","","","","","","","","","","",""
"11","SEX-DEPENDENT TYPE I INTERFERON SIGNALING EXACERBATES ALZHEIMER'S PATHOLOGY","Alzheimer’s disease (AD) disproportionately affects women, but the biological basis for this sex difference remains unclear. Using transcriptomic profiling of postmortem human AD brain tissue, we identified a sex-specific enrichment of interferon-alpha (IFN-α) signaling pathways in females. This immune signature was recapitulated in APP/PS1 transgenic mouse models, where female mice exhibited greater amyloid pathology, neuroinflammation, and neurodegeneration compared to males.","Mus musculus","Expression profiling by high throughput sequencing","GPL24247","82 Samples","GEO (CSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE304nnn/GSE304521/","GSE304521",200304521,NA,NA,"","","Gerard,,Iniesta Marina,,Guillot Verónica,,López Jose,P,López-Atalaya","Aug 04 2025","Alzheimer’s disease (AD) disproportionately affects women, but the biological basis for this sex difference remains unclear. Using transcriptomic profiling of postmortem human AD brain tissue, we identified a sex-specific enrichment of interferon-alpha (IFN-α) signaling pathways in females. This immune signature was recapitulated in APP/PS1 transgenic mouse models, where female mice exhibited greater amyloid pathology, neuroinflammation, and neurodegeneration compared to males.","","","","","","","","","","","",""
"12","A distinct vagus-beta cell neural circuit senses glucose and modulates insulin secretion","Vagal sensory neurons (VSN) communicate information regarding the peripheral glycemic state to the brain. However, the vagal circuits that sense and respond to continuous fluctuations in peripheral glucose levels to modify hormone release and fine-tune feeding behavior are unclear. Here, we show that VSN regulate glucose homeostasis via sensing glucose and communicating with insulin producing β-cells. more...","Mus musculus","Expression profiling by high throughput sequencing","GPL34328","24 Samples","GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE281nnn/GSE281091/","GSE281091",200281091,NA,NA,"","42025694","Santosh,,Kumar Young Jae,,Bahn Sushil,G,Rane","Nov 05 2024","Vagal sensory neurons (VSN) communicate information regarding the peripheral glycemic state to the brain. However, the vagal circuits that sense and respond to continuous fluctuations in peripheral glucose levels to modify hormone release and fine-tune feeding behavior are unclear. Here, we show that VSN regulate glucose homeostasis via sensing glucose and communicating with insulin producing β-cells. Neuronal tracing combined with in-situ hybridization and immunofluorescence revealed that VSN expressing cocaine and amphetamine regulated transcript (VSN-CART) are anatomically connected with β-cells. Chemogenetic stimulation of VSN-CART increased levels of acetylcholine and insulin along with reductions in glucose levels. In contrast, silencing of VSN-CART suppressed glucose-stimulated insulin secretion and led to glucose intolerance. VSN-CART responded differentially to feeding status via changes to the vagal transcriptome and brainstem neuronal activity. Activation of VSN-CART suppressed whereas silencing increased food consumption. Neuronal activity measurements and two-photon Ca2+ imaging revealed that VSN-CART serve a dose-dependent glucose excitatory function. We propose that the VSN-CART – β-cell neural circuit dynamically senses glucose levels to modulate insulin secretion, feeding behavior and glucose homeostasis.","","","","","","","","","","","",""
