,ExperimentIDs,InGemma,MinExpression,MedianExpression,MaxExpression,Keep
1,GSE315740,Y,-5.3246,-3.7632,12.5306,Y
2,GSE270831,Y,-7.2987,-2.77005,13.2822,Y
3,GSE299436,Y,-4.7802,-1.4963,14.1855,Y
4,GSE283250,Y,-4.8713,-3.6105,15.3995,Y
5,GSE237890,Y,-6.4598,-2.3984,14.4501,Y
6,GSE242354,Y,-5.7514,-2.7263,15.3188,Y
7,GSE235037,Y,-7.9256,-3.2285,12.8161,Y
8,GSE208615,Y,-6.062,-3.6013,12.5962,Y
9,GSE203554,Y,-5.8212,-2.7762,12.2098,Y
10,GSE111212,Y,-5.7262,-2.5787,12.3105,Y
11,GSE132930,Y,-4.4864,-1.9745,12.3583,Y
12,GSE123582,Y,-6.3374,-2.0483,12.0205,Y
13,GSE124954,Y,-4.5879,-1.5926,16.2672,Y
14,GSE96961,Y,-3.8544,-2.0916,12.2048,Y
15,GSE95740,Y,-5.8696,-2.5169,16.6924,Y
16,GSE43718,N,0,0,0,N
17,GSE45813,N,0,0,0,N
18,GSE29075,Y,7.5276,7.8111,15.9125,Y
19,GSE36571,Y,2.1299,7.6905,15.9987,Y
20,GSE30880,Y,2.4827,5.78045,13.8814,Y
21,GSE9565,N,0,0,0,N
22,GSE2654,N,0,0,0,N
23,GSE283483,N,0,0,0,N
24,GSE208714,Y,-7.8301,0.23135,12.7706,Y
25,GSE197754,Y,-6.2845,-3.1267,11.8153,Y
26,GSE111271,Y,-5.7062,-2.7173,12.2358,Y
27,GSE111270,Y,-6.9023,-2.3474,12.4211,Y
28,GSE111215,Y,-7.8662,-2.6569,12.2436,Y
29,GSE184615,Y,-4.9716,-3.3866,15.6197,Y
30,GSE179081,Y,-5.637,-2.5488,12.335,Y
31,GSE142678,Y,-4.1304,0.2294,15.0663,Y
32,GSE150812,Y,-5.7765,-1.7714,16.3729,Y
33,GSE42904,Y,2.6536,7.1325,14.6567,Y
34,GSE39697,Y,2.5788,5.87915,13.5676,Y
35,GSE1833,Y,4.3,7.6453,14.2334,Y
