"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_17283_coefficient","contrast_17283_log2fc","contrast_17283_tstat","contrast_17283_pvalue"
"1","1369063_at","25379","ENSRNOG00000014846","Anp32a","acidic nuclear phosphoprotein 32 family member A",4.701e-07,0.0075,6.302e-05,-1.3933,-1.3933,-10.409,1.358e-07
"2","1387068_at","54323","ENSRNOG00000043465","Arc","activity-regulated cytoskeleton-associated protein",5.581e-06,0.0221,3e-04,0.4158,0.4158,3.3207,0.0057
"3","1386994_at","29619","ENSRNOG00000003300","Btg2","BTG anti-proliferation factor 2",5.313e-06,0.0221,2e-04,0.1737,0.1737,3.7885,0.0023
"4","1387788_at","24517","ENSRNOG00000042838","Junb","JunB proto-oncogene, AP-1 transcription factor subunit",2.495e-05,0.0792,3e-04,0.2445,0.2445,3.9211,0.0018
"5","1368121_at","26760","ENSRNOG00000017899","Akr7a3","aldo-keto reductase family 7 member A3",1e-04,0.1511,8e-04,0.3705,0.3705,5.5787,9.641e-05
"6","1387442_at","25129","ENSRNOG00000015719","Egr4","early growth response 4",1e-04,0.1511,6e-04,0.3807,0.3807,2.8199,0.0147
"7","1386987_at","24499","ENSRNOG00000020811","Il6r","interleukin 6 receptor",6.819e-05,0.1511,4e-04,-0.1703,-0.1703,-3.3511,0.0053
"8","1375305_at","362256","ENSRNOG00000036802","Snhg11","small nucleolar RNA host gene 11",1e-04,0.1511,8e-04,0.1222,0.1222,1.8787,0.0834
"9","1392122_x_at","301119","ENSRNOG00000048736","Mllt1","MLLT1, super elongation complex subunit",5e-04,0.4406,0.0011,-0.0682,-0.0682,-1.0905,0.2957
"10","1371553_at","364656","ENSRNOG00000023407","Mrpl36","mitochondrial ribosomal protein L36",6e-04,0.4508,0.0014,0.3023,0.3023,4.2233,0.001
"11","1370658_a_at","266680","ENSRNOG00000006200","St18","ST18 C2H2C-type zinc finger transcription factor",9e-04,0.5063,0.0018,0.0638,0.0638,1.0752,0.3022
"12","1387306_a_at","114090","ENSRNOG00000000640","Egr2","early growth response 2",0.001,0.5271,0.0019,0.3499,0.3499,2.913,0.0123
"13","1369645_at","29256","ENSRNOG00000016768","Oprl1","opioid related nociceptin receptor 1",0.0011,0.5271,0.0021,-0.1131,-0.1131,-2.1232,0.0539
"14","1398251_a_at","24245","ENSRNOG00000052080","Camk2b","calcium/calmodulin-dependent protein kinase II beta",0.0011,0.5271,0.0021,0.2011,0.2011,3.6459,0.0031
"15","1377457_a_at","300652","ENSRNOG00000064634","Sorl1","sortilin related receptor 1",0.0012,0.54,0.0023,0.1557,0.1557,2.1531,0.0511
"16","1375417_at","296374","ENSRNOG00000019154","Zmynd8","zinc finger, MYND-type containing 8",0.0013,0.54,0.0023,0.1521,0.1521,2.6089,0.0219
"17","1386935_at","79240","ENSRNOG00000007607","Nr4a1","nuclear receptor subfamily 4, group A, member 1",0.0013,0.5574,0.0024,0.1219,0.1219,1.1529,0.2701
"18","1389116_at","282584","ENSRNOG00000011560","Mtmr9","myotubularin related protein 9",0.0015,0.5789,0.0026,0.2394,0.2394,2.7163,0.0179
"19","1370283_at","25617","ENSRNOG00000018294","Hspa5","heat shock protein family A (Hsp70) member 5",0.0016,0.5789,0.0027,0.1647,0.1647,3.3348,0.0055
"20","1387179_at","29241","ENSRNOG00000004890","Adcy8","adenylate cyclase 8",0.0017,0.5789,0.0028,-0.1248,-0.1248,-2.1051,0.0557
"21","1370063_at","113984","ENSRNOG00000010308","Nr2f2","nuclear receptor subfamily 2, group F, member 2",0.0017,0.5789,0.0029,-0.2038,-0.2038,-3.7722,0.0024
"22","1388088_a_at","81817","ENSRNOG00000053725","Usf2","upstream transcription factor 2, c-fos interacting",0.0016,0.5789,0.0026,-0.177,-0.177,-2.4342,0.0304
"23","1372000_at","307098","ENSRNOG00000017765","Net1","neuroepithelial cell transforming 1",0.0018,0.6085,0.003,-0.096,-0.096,-1.6304,0.1275
"24","1370026_at","25420","ENSRNOG00000010524","Cryab","crystallin, alpha B",0.002,0.6368,0.003,0.1107,0.1107,1.7934,0.0967
"25","1370050_at","29598","ENSRNOG00000004026","Atp2b1","ATPase plasma membrane Ca2+ transporting 1",0.0021,0.6368,0.0032,0.1304,0.1304,2.1167,0.0546
"26","1367464_at","84401","ENSRNOG00000009960","Puf60","poly-U binding splicing factor 60",0.002,0.6368,0.0031,-0.1252,-0.1252,-2.4261,0.0309
"27","1375729_at","316539","ENSRNOG00000013213","Epha4","Eph receptor A4",0.0023,0.6627,0.0034,0.2331,0.2331,2.8857,0.013
"28","1375377_at","295325","ENSRNOG00000023851","Igsf3","immunoglobulin superfamily, member 3",0.0022,0.6627,0.0033,-0.1285,-0.1285,-1.8587,0.0863
"29","1368017_at","29518","ENSRNOG00000020380","Lgals7","galectin 7",0.0024,0.6842,0.0035,-0.1513,-0.1513,-3.4625,0.0043
"30","1371024_at","116639","ENSRNOG00000001424","Cux1","cut-like homeobox 1",0.0025,0.6842,0.0036,-0.2197,-0.2197,-3.4604,0.0043
"31","1392701_at","363145","ENSRNOG00000037229","Gmppb","GDP-mannose pyrophosphorylase B",0.0027,0.7058,0.0038,-0.1163,-0.1163,-1.8451,0.0884
"32","1373572_at","296462","ENSRNOG00000059919","Mtg2","mitochondrial ribosome-associated GTPase 2",0.0027,0.7058,0.0038,0.0873,0.0873,1.8829,0.0828
"33","1390710_x_at","300652","ENSRNOG00000064634","Sorl1","sortilin related receptor 1",0.0034,0.7364,0.0047,0.178,0.178,2.1649,0.05
"34","1393933_at","300652","ENSRNOG00000064634","Sorl1","sortilin related receptor 1",0.0032,0.7364,0.0042,0.1584,0.1584,2.1284,0.0534
"35","1367599_at","29754","ENSRNOG00000069121","Atp5mc1","ATP synthase membrane subunit c locus 1",0.0031,0.7364,0.0042,0.2977,0.2977,4.7938,4e-04
