"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_185743_coefficient","contrast_185743_log2fc","contrast_185743_tstat","contrast_185743_pvalue"
"1",235527,235527,"ENSMUSG00000032377","Plscr4","phospholipid scramblase 4",1.42e-08,4e-04,3.251e-05,-0.3146,-0.3146,-5.9161,6.623e-07
"2",22421,22421,"ENSMUSG00000030093","Wnt7a","wingless-type MMTV integration site family, member 7A",8.221e-08,0.001,6.501e-05,-0.2838,-0.2838,-4.3155,1e-04
"3",68888,68888,"ENSMUSG00000030048","Gkn3","gastrokine 3",1.413e-07,0.001,1e-04,-0.6166,-0.6166,-4.9796,1.317e-05
"4",19415,19415,"ENSMUSG00000029602","Rasal1","RAS protein activator like 1 (GAP1 like)",1.605e-07,0.001,2e-04,-0.2598,-0.2598,-5.3147,4.542e-06
"5",214239,214239,"ENSMUSG00000045838","Ccdc9b","coiled-coil domain containing 9B",1.258e-07,0.001,9.752e-05,0.2735,0.2735,4.7859,2.424e-05
"6",13478,13478,"ENSMUSG00000032123","Dpagt1","dolichyl-phosphate N-acetylglucosaminephosphotransferase 1",3.034e-07,0.0016,2e-04,-0.1981,-0.1981,-4.4149,7.694e-05
"7",194268,194268,"ENSMUSG00000044730","Airim","AFG2 interacting ribosome maturation factor",4.258e-07,0.0019,2e-04,-0.1605,-0.1605,-4.7334,2.858e-05
"8",333315,333315,"ENSMUSG00000042353","Frem3","Fras1 related extracellular matrix protein 3",5.599e-07,0.0019,3e-04,-1.2979,-1.2979,-5.5102,2.433e-06
"9",108167751,108167751,"","Gm37885","predicted gene, 37885",5.526e-07,0.0019,3e-04,0.4489,0.4489,4.8837,1.782e-05
"10",17380,17380,"ENSMUSG00000027820","Mme","membrane metallo endopeptidase",9.525e-07,0.0027,4e-04,-0.2748,-0.2748,-4.5429,5.179e-05
"11",14595,14595,"ENSMUSG00000028413","B4galt1","UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",9.231e-07,0.0027,3e-04,0.2357,0.2357,4.4604,6.687e-05
"12",74103,74103,"ENSMUSG00000053702","Nebl","nebulette",1.189e-06,0.0029,4e-04,0.1521,0.1521,4.4335,7.266e-05
"13",270685,270685,"ENSMUSG00000040675","Mthfd1l","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like",1.21e-06,0.0029,4e-04,-0.4095,-0.4095,-4.3851,8.434e-05
"14",115490527,115490527,"ENSMUSG00000077431","Gm22591","predicted gene, 22591",1.697e-06,0.0033,5e-04,-1.7448,-1.7448,-5.1446,7.806e-06
"15",104816,104816,"ENSMUSG00000037686","Aspg","asparaginase",1.632e-06,0.0033,5e-04,0.318,0.318,3.8374,4e-04
"16",622645,622645,"ENSMUSG00000095407","Tmem200c","transmembrane protein 200C",1.708e-06,0.0033,5e-04,-0.2961,-0.2961,-4.9347,1.518e-05
"17",71753,71753,"ENSMUSG00000016942","Tmprss6","transmembrane serine protease 6",1.82e-06,0.0033,6e-04,0.9355,0.9355,4.3792,8.589e-05
"18",102632361,102632361,"","Gm30453","predicted gene, 30453",2.084e-06,0.0036,6e-04,-1.2851,-1.2851,-3.7081,6e-04
"19",192231,192231,"ENSMUSG00000048878","Hexim1","hexamethylene bis-acetamide inducible 1",2.349e-06,0.0038,6e-04,-0.1233,-0.1233,-3.5429,0.001
"20",14313,14313,"ENSMUSG00000021765","Fst","follistatin",2.588e-06,0.004,7e-04,1.0459,1.0459,5.6594,1.509e-06
"21",11865,11865,"ENSMUSG00000055116","Bmal1","basic helix-loop-helix ARNT like 1",3.327e-06,0.0049,7e-04,0.2544,0.2544,3.4851,0.0012
"22",12879,12879,"ENSMUSG00000062563","Cys1","cystin 1",4.302e-06,0.0055,8e-04,-0.3449,-0.3449,-4.3939,8.208e-05
"23",13134,13134,"ENSMUSG00000055639","Dach1","dachshund family transcription factor 1",3.992e-06,0.0055,7e-04,-0.4331,-0.4331,-5.3526,4.026e-06
"24",234542,234542,"ENSMUSG00000048617","Rtbdn","retbindin",4.294e-06,0.0055,7e-04,-0.3688,-0.3688,-3.7084,6e-04
"25",544767,544767,"","Gm5782","predicted gene 5782",4.518e-06,0.0056,8e-04,-1.1842,-1.1842,-3.4468,0.0014
"26",227674,227674,"ENSMUSG00000026806","Ddx31","DEAD/H box helicase 31",4.857e-06,0.0057,8e-04,-0.2169,-0.2169,-4.0093,3e-04
"27",233271,233271,"ENSMUSG00000063297","Luzp2","leucine zipper protein 2",5.273e-06,0.006,9e-04,0.2154,0.2154,3.9728,3e-04
"28",14762,14762,"ENSMUSG00000035148","Gpr33","G protein-coupled receptor 33",6.056e-06,0.0062,0.001,1.1991,1.1991,3.8444,4e-04
"29",20259,20259,"ENSMUSG00000002565","Scin","scinderin",5.893e-06,0.0062,9e-04,-0.6524,-0.6524,-4.2492,1e-04
"30",18143,18143,"ENSMUSG00000026077","Npas2","neuronal PAS domain protein 2",6.018e-06,0.0062,9e-04,0.2935,0.2935,4.9255,1.562e-05
"31",102141,102141,"ENSMUSG00000038291","Snx25","sorting nexin 25",8.516e-06,0.0078,0.0011,0.1625,0.1625,4.7245,2.939e-05
"32",13388,13388,"ENSMUSG00000014773","Dll1","delta like canonical Notch ligand 1",8.412e-06,0.0078,0.001,-0.3536,-0.3536,-4.7315,2.876e-05
"33",268932,268932,"ENSMUSG00000033597","Caskin1","CASK interacting protein 1",8.261e-06,0.0078,0.001,-0.1526,-0.1526,-3.8624,4e-04
"34",319463,319463,"","C230057M02Rik","RIKEN cDNA C230057M02 gene",8.599e-06,0.0078,0.0011,-0.2705,-0.2705,-4.5537,5.008e-05
"35",320961,320961,"","A630026N12Rik","RIKEN cDNA A630026N12 gene",1.035e-05,0.0088,0.0012,0.1929,0.1929,2.8192,0.0075
"36",16598,16598,"ENSMUSG00000055148","Klf2","Kruppel-like transcription factor 2 (lung)",1.007e-05,0.0088,0.0011,-0.8709,-0.8709,-4.2475,1e-04
