"","GSE111212_exercise"
"11287",0.3828
"11298",-0.9882
"11302",-0.6777
"11303",0.4471
"11304",0.7543
"11305",-1.0106
"11306",1.028
"11307",-0.855
"11308",0.7564
"11350",-0.2011
"11352",0.0636
"11363",0.5239
"11364",1.9184
"11370",0.8401
"11409",0.9237
"11416",0.4635
"11418",-0.5765
"11419",-0.3508
"11421",0.489
"11423",-0.4849
"11426",-0.4152
"11428",-0.3224
"11429",1.0377
"11430",0.8681
"11431",0.5232
"11432",0.1362
"11433",1.6072
"11434",-0.7417
"11435",0.0135
"11438",-1.4964
"11440",1.0033
"11441",-0.009
"11443",0.6366
"11444",-0.3062
"11448",-0.762
"11459",-0.1019
"11461",0.0058
"11465",-0.5687
"11472",-0.068
"11474",1.277
"11475",0.4042
"11477",0.1938
"11479",-0.448
"11480",-0.1668
"11481",-1.2279
"11482",1.3405
"11484",-0.8919
"11486",-0.5009
"11487",-0.2752
"11488",0.0652
"11489",0.7318
"11490",0.1491
"11491",0.5505
"11492",-1.4041
"11496",-0.5112
"11497",0.8443
"11498",0.9772
"11499",-0.6117
"11501",0.7895
"11502",-0.6299
"11504",0.1156
"11512",-0.2227
"11513",0.2588
"11514",-1.6744
"11515",-0.1927
"11516",-0.2299
"11517",-0.4918
"11519",-0.2376
"11520",1.1575
"11522",1.2463
"11529",-0.5467
"11532",0.7206
"11534",0.1903
"11535",0.4181
"11536",0.5553
"11538",-0.5338
"11539",0.9054
"11540",-0.0587
"11541",-0.2846
"11542",0.218
"11544",0.2891
"11545",-0.2159
"11546",-0.8933
"11548",-1.3742
"11549",-1.3436
"11550",-0.1557
"11551",-1.0824
"11552",0.026
"11553",-0.6769
"11554",-0.8514
"11555",0.9299
"11556",-1.211
"11564",0.4134
"11565",0.3338
"11566",-0.4596
"11567",1.4788
"11568",0.0446
"11569",-0.4876
"11576",1.2387
"11593",1.2816
"11595",0.0563
"11596",0.7186
"11600",-0.3298
"11601",1.9556
"11603",-0.0254
"11604",-1.142
"11605",-0.0422
"11606",-0.9381
"11607",-0.5879
"11608",1.0029
"11609",-0.2124
"11610",1.8363
"11615",-1.0279
"11622",-0.2567
"11624",1.2862
"11629",0.7535
"11630",0.7792
"11632",0.3996
"11634",-1.0008
"11636",-0.3468
"11637",-0.2567
"11639",0.6293
"11640",-0.7731
"11642",1.221
"11647",0.3033
"11651",0.7036
"11652",1.4815
"11655",-0.4557
"11656",1.7038
"11657",0.4231
"11658",-0.911
"11666",-0.0133
"11668",1.1028
"11669",1.0566
"11670",-1.6665
"11671",1.1564
"11676",0.251
"11677",-0.9056
"11682",-1.538
"11684",1.4355
"11686",-0.0983
"11687",-1.0509
"11688",-0.4821
"11689",0.116
"11690",0.6738
"11692",0.6755
"11694",0.1153
"11695",0.7068
"11702",0.1787
