"","GSE111271_enriched environment"
"11287",-0.7591
"11298",-0.3823
"11302",-0.163
"11303",0.0522
"11304",-0.0305
"11305",-0.103
"11306",0.0214
"11307",-0.0109
"11308",0.2036
"11350",-0.0446
"11352",0.1824
"11363",-0.0804
"11364",0.0094
"11370",-0.0234
"11409",-0.0043
"11416",0.0784
"11418",0.1026
"11419",-0.2826
"11421",-0.363
"11423",-0.017
"11426",0.0119
"11428",-0.0082
"11429",-0.0325
"11430",-0.0247
"11431",0.0979
"11432",0.0338
"11433",0.2238
"11434",0.1616
"11435",0.0449
"11438",-0.6268
"11440",-0.5802
"11441",0.1854
"11443",0.1471
"11444",0.0315
"11448",-1.4612
"11450",0.0861
"11459",-0.1338
"11461",0.0615
"11465",-0.0755
"11468",0.0794
"11472",0.1538
"11474",-0.7568
"11475",0.2612
"11477",0.1542
"11479",-0.0157
"11480",-0.1007
"11481",-0.2018
"11482",0.0511
"11484",-0.2413
"11486",0.1714
"11487",-0.0185
"11488",-0.0016
"11489",0.3148
"11490",-0.0528
"11491",0.0343
"11492",-0.1931
"11496",-0.0051
"11497",-0.3879
"11498",-0.2617
"11499",0.2388
"11501",-0.1139
"11502",0.0769
"11504",-0.1237
"11512",-0.1561
"11513",0.0379
"11514",-0.6499
"11515",0.2843
"11516",-0.5546
"11517",-0.2235
"11518",-0.0123
"11519",0.1784
"11520",0.1064
"11522",0.4555
"11529",1.4804
"11532",-0.0306
"11534",-0.0668
"11535",-0.164
"11536",-0.11
"11538",0.1953
"11539",0.082
"11540",-0.1248
"11541",-0.2047
"11542",-0.0082
"11544",-0.0961
"11545",0.2674
"11546",0.1276
"11548",-0.3764
"11549",-0.2645
"11550",0.1929
"11551",-0.2699
"11552",0.408
"11553",0.0265
"11554",-0.2388
"11555",0.0635
"11556",-0.7974
"11564",0.0159
"11565",0.0052
"11566",-0.021
"11567",0.1264
"11568",-0.2801
"11569",0.0505
"11576",-0.7005
"11593",0.2006
"11595",0.5432
"11596",0.9327
"11600",-0.5812
"11601",0.0295
"11602",0.4906
"11603",0.0161
"11604",0.0109
"11605",0.224
"11606",-0.5054
"11607",-0.2179
"11608",1.0578
"11609",-0.103
"11610",0.0456
"11615",0.0981
"11622",0.0453
"11624",0.1498
"11629",-0.1169
"11630",-0.3999
"11632",-0.0722
"11634",0.3227
"11636",-0.1898
"11637",-0.0044
"11639",-0.0706
"11640",0.0348
"11642",-0.0529
"11647",-0.3252
"11651",-0.0269
"11652",0.0031
"11655",0.0464
"11656",0.0145
"11657",0.9303
"11658",-0.0775
"11666",-0.0711
"11668",0.1986
"11669",-0.0513
"11670",-0.6486
"11671",-0.0903
"11676",-0.1471
"11677",0.0312
"11682",0.0404
"11684",-0.1585
"11685",-1.7507
"11686",0.3616
"11687",0.2894
"11688",-0.1455
"11689",0.5767
"11690",-0.0286
"11692",0.0776
"11694",0.4144
"11695",0.0801
"11702",0.0118
"11705",0.2866
"11717",-0.0465
"11720",-1.8932
"11722",0.0099
"11727",-0.0857
"11732",-0.0919
"11733",-0.2025
"11735",0.072
"11736",0.0447
"11737",0.0118
"11739",-0.0386
"11740",0.0085
"11744",0.4639
"11745",0.0635
"11746",-0.2447
"11747",-0.189
"11749",0.0165
"11750",-0.1579
"11752",-0.2187
"11754",0.3507
"11757",0.0104
"11758",0.0366
"11761",0.1213
"11764",-0.1055
"11765",0.0282
"11766",0.1779
"11767",-0.0167
"11768",-2.0226
"11769",-0.0309
"11770",0.5306
"11771",-0.0472
"11772",0.0016
"11773",-0.1655
"11774",0.0901
"11775",-0.0645
"11776",-0.0227
"11777",0.0434
"11778",-0.0388
"11781",-0.0297
"11782",0.0106
"11783",-0.0571
"11784",-0.0258
"11785",-0.1829
"11787",0.0694
"11789",-0.0546
"11790",-0.0413
"11792",-0.0086
"11793",0.1046
"11796",-0.1166
"11797",0.0016
"11798",-0.0587
"11799",0.027
"11800",0.0529
"11803",-0.1114
"11804",-0.1024
"11806",-0.7207
"11807",0.5371
"11810",0.0876
"11811",0.3851
"11812",0.1049
"11814",-0.0798
"11815",0.0844
"11816",-0.1096
"11818",0.5895
"11819",-0.4209
"11821",-0.0447
"11826",-0.6562
"11829",-0.2305
"11830",0.2822
"11831",0.3991
"11832",-0.5169
"11834",-0.002
"11835",0.1882
"11836",-0.0013
"11837",-0.0282
"11838",0.2873
"11839",0.0631
"11840",0.0598
"11841",-0.0869
"11843",0.0528
"11844",-0.0164
"11845",-0.035
"11846",-1.6621
"11847",0.0965
"11848",-0.0225
"11852",0.0599
"11853",-0.1383
"11854",-0.3681
"11855",0.0219
"11856",-1.148
"11857",-0.0975
"11858",-0.2474
"11861",-0.0997
"11863",0.0147
"11864",-0.1221
"11865",0.1139
"11867",0.0038
"11870",0.3533
"11876",0.666
"11877",-0.0648
"11878",-0.4255
"11881",-0.0225
"11883",-0.13
"11886",-0.1034
"11889",0.0755
"11890",1.3303
"11891",0.1042
"11898",-0.2136
"11899",-0.0286
"11905",0.1967
"11906",-0.0558
"11907",0.0233
"11908",0.071
"11909",0.0059
"11910",0.4833
"11911",-0.0581
"11920",0.0781
"11922",0.2511
"11923",-0.0216
"11924",0.4115
"11927",0.0353
"11928",0.0483
"11932",-0.2017
"11933",-0.096
"11936",-0.225
"11937",0.0154
"11941",-0.0375
"11944",0.0282
"11946",-0.0641
"11949",0.0258
"11950",-2e-04
"11951",-0.0278
"11957",-0.0268
"11958",-0.0544
"11964",-0.0103
"11966",-0.0895
"11972",-0.0694
"11973",-0.0544
"11974",0.1189
"11975",-0.0232
"11977",0.1836
"11979",-0.0331
"11980",0.0078
"11981",-0.1033
"11982",-0.1297
"11983",-0.0688
"11984",-0.1123
"11987",-0.0177
"11988",-0.0809
"11989",-0.8055
"11990",0.0861
