"","GSE123582_F1, sedentary ; F1, sedentary "
"11298",-0.2155
"11302",-0.0321
"11303",-0.0445
"11304",-1.6143
"11305",-0.0512
"11306",0.1497
"11307",-0.0528
"11308",-0.0068
"11350",-0.0956
"11352",-0.0786
"11363",-0.0387
"11364",-0.0385
"11370",-0.0801
"11409",-0.142
"11416",0.0194
"11418",-0.0142
"11419",0.0841
"11421",-0.9996
"11423",0.0055
"11426",0.0664
"11428",-0.0669
"11429",-0.0771
"11430",-0.039
"11431",0.0574
"11432",0.0305
"11433",-0.4856
"11434",0.2293
"11435",0.0673
"11438",0.3093
"11440",2.5018
"11441",0.1175
"11443",0.1182
"11444",-0.0233
"11448",-1.4937
"11459",0.0227
"11461",-0.0583
"11468",0.4549
"11472",-0.1492
"11474",-0.1256
"11475",0.4842
"11477",-0.0223
"11479",0.0084
"11480",0.1373
"11481",0.0577
"11482",-0.0421
"11484",0.2428
"11486",-0.2645
"11487",0.027
"11488",-0.03
"11489",0.1395
"11490",-0.1144
"11491",-0.0717
"11492",0.0581
"11496",0.0176
"11498",-0.1007
"11499",0.7478
"11501",-0.0438
"11502",0.0048
"11504",-0.0953
"11512",-0.1181
"11513",0.064
"11514",0.2093
"11515",-0.0489
"11516",0.104
"11517",-0.0818
"11518",-0.0362
"11519",-0.0471
"11520",-0.0802
"11522",-0.3227
"11532",0.0037
"11534",0.0754
"11535",0.1392
"11536",0.2795
"11538",-0.0104
"11539",-0.0272
"11540",-0.0325
"11541",-0.0277
"11542",-0.3951
"11544",-0.0294
"11545",-0.1471
"11546",0.0658
"11548",0.4307
"11549",0.1119
"11550",-0.0751
"11551",-0.1473
"11552",-0.0999
"11553",-0.1162
"11554",0.0636
"11555",-0.0025
"11556",-0.1889
"11564",0.068
"11565",-0.0098
"11566",0.0604
"11567",-0.0494
"11568",0.133
"11569",-0.0061
"11593",-0.0305
"11595",-0.0559
"11596",0.3611
"11600",0.2082
"11601",0.4051
"11602",-1.2336
"11603",-0.0446
"11604",0.9361
"11605",0.0954
"11606",0.4522
"11607",-0.2208
"11608",0.414
"11609",-0.0922
"11610",-0.1332
"11615",-0.5799
"11622",0.1163
"11624",0.2565
"11629",-0.058
"11630",-0.0078
"11632",-0.0784
"11634",0.7613
"11636",-0.013
"11637",-0.0901
"11639",0.0475
"11640",-0.0027
"11642",-0.0083
"11647",0.2635
"11651",-0.0702
"11652",-0.0486
"11655",-0.0527
"11656",0.5716
"11658",0.1303
"11666",-0.0287
"11668",0.0864
"11669",-0.1652
"11670",0.297
"11671",0.0537
"11676",-0.1087
"11677",-0.0774
"11682",0.0254
"11684",-0.1621
"11685",-0.2435
"11686",-0.0644
"11687",-1e-04
"11688",0.0527
"11689",0.3603
"11690",0.0761
"11692",-0.0785
"11694",0.0304
"11695",0.384
"11702",0.0186
"11705",0.1152
"11717",0.1038
"11720",-0.4101
"11722",0.1265
"11727",-0.3653
"11732",0.0298
"11733",0.104
"11735",0.0209
"11736",-0.0203
"11737",0.0165
"11739",-0.0128
"11740",-0.0368
"11744",-0.1276
"11745",0.1422
"11746",-0.0828
"11747",0.1042
"11749",-0.0175
"11750",0.0648
"11752",0.3265
"11754",0.2405
"11757",0.0468
"11758",-0.1773
"11761",-0.0967
"11764",-0.0571
"11765",0.0012
"11766",-0.1285
"11767",0.0543
"11768",0.0771
"11769",-0.11
"11770",-0.6989
"11771",-0.0569
"11772",-0.0428
"11773",0.0147
"11774",-0.001
"11775",0.0122
"11776",-0.0229
"11777",0.0992
"11778",-0.0408
"11781",-0.0092
"11782",0.0016
"11783",0.0601
"11784",-0.0119
"11785",-0.0716
"11787",0.1169
"11789",0.0303
"11790",-0.0834
"11792",-0.068
"11793",-0.0191
"11796",-0.1038
"11797",0.144
"11798",0.1218
"11799",-0.1047
"11800",0.0613
"11804",0.0351
"11806",0.396
"11807",0.4557
"11810",-0.0211
"11811",-0.4873
"11812",0.0291
"11814",-0.0813
"11815",0.1429
"11816",-0.0975
"11818",-0.1166
"11819",0.0961
"11821",-0.0415
"11826",-2.2954
"11829",0.1543
"11830",-0.0333
"11832",0.3196
"11834",-0.0141
