"","GSE123582_F1, sedentary ; F1, sedentary "
"11298",0.20934024819578
"11302",0.00244862494195444
"11303",0.0135278908527206
"11304",0.783970767612062
"11305",0.00444444444444444
"11306",0.00580151871086081
"11307",0.00136675221876131
"11308",0.00226757369614512
"11350",0.00226983437463109
"11352",0.0042568394564911
"11363",0.00639074905907892
"11364",0.00300693134952073
"11370",0.00556336235396316
"11409",0.0159945446577459
"11416",0.00363438875715029
"11418",0.00209552623232199
"11419",0.00617997622729167
"11421",0.465816035999779
"11423",0.00615586862867597
"11426",0.00991619312610184
"11428",0.00273639671760055
"11429",0.00178360015719563
"11430",0.00113798991073558
"11431",0.00297426441963203
"11432",0.00137809392270432
"11433",0.333558452328035
"11434",0.041862905334512
"11435",0.0355779103993646
"11438",0.0176065916992558
"11440",0.917400201449782
"11441",0.0163010991566241
"11443",0.035493262772452
"11444",0.00198932392374457
"11448",0.517144548040382
"11459",0.0171773410706761
"11461",0.00383032216767865
"11468",0.638707610242137
"11472",0.00884306355656774
"11474",0.0466851364931263
"11475",0.143477563296698
"11477",0.00340965477596787
"11479",0.00141128580617702
"11480",0.00722673683893593
"11481",0.00835901810655683
"11482",0.0147368958438929
"11484",0.0113613007295418
"11486",0.0603366590707374
"11487",0.00257963097901136
"11488",0.00380726056434431
"11489",0.022753739048413
"11490",0.00485584094197176
"11491",0.00477689641642033
"11492",0.00753322343435238
"11496",0.00313970946943309
"11498",0.0741122978006886
"11499",0.105958425559267
"11501",0.0454280995258138
"11502",0.00275194840096748
"11504",0.0208875698710117
"11512",0.00448384266828581
"11513",0.00888424239926601
"11514",0.0143352711192209
"11515",0.00553633815641636
"11516",0.0333721595289194
"11517",0.00230201837453945
"11518",0.00106935498743726
"11519",0.00444192919579959
"11520",0.0166038793359811
"11522",0.323345036775408
"11532",0.00450920780893344
"11534",0.00183471796639426
"11535",0.0643119990125168
"11536",0.130401234567901
"11538",0.0249812917471199
"11539",0.00344826557610793
"11540",0.0682536625965406
"11541",0.0237345041641869
"11542",0.0363013021747207
"11544",0.00619271260815539
"11545",0.00410362903354811
"11546",0.00726657407979439
"11548",0.0433298097444426
"11549",0.0175949092388038
"11550",0.0078283301324218
"11551",0.0167924387809554
"11552",0.302621157503542
"11553",0.00785729627118615
"11554",0.00574906723481941
"11555",0.0263535166132569
"11556",0.0294741771821354
"11564",0.0044874556544712
"11565",0.0104864448178684
"11566",0.00152221450499065
"11567",0.119172110417182
"11568",0.0694993816798467
"11569",0.00132152613716596
"11593",0.0178323048328278
"11595",0.0173734900893641
"11596",0.0928107768944849
"11600",0.0231288774016747
"11601",0.0854892340775947
"11602",0.804434487724422
"11603",0.00417681906574404
"11604",0.511639758957997
"11605",0.00401545931275349
"11606",0.0404567721035253
"11607",0.126216424204022
"11608",0.41610339259878
"11609",0.0555474529631442
"11610",0.0136832672201592
"11615",0.110033261400508
"11622",0.014132380517811
"11624",0.0278102949277925
"11629",0.0326675491307218
"11630",0.0344897959183673
"11632",0.00713272408368599
"11634",0.194955897838693
"11636",0.00631422576383451
"11637",0.00574519873985965
"11639",0.00951325847813163
"11640",0.00150058973794228
"11642",0.136079012345679
"11647",0.0247179933185616
"11651",0.0018787054190025
"11652",0.00296454995888469
"11655",0.00321111111111111
"11656",0.475647211952714
"11658",0.00638861995718436
"11666",0.00416139539237959
"11668",0.0170698788791279
"11669",0.0139798635346846
"11670",0.0380188552902779
"11671",0.0021145191836398
"11676",0.00557360693907741
"11677",0.0047258755745204
"11682",0.0125534874571171
"11684",0.0692026366751818
"11685",0.908272410108724
"11686",0.0452334791614679
"11687",0.0123456790123457
"11688",0.00928889852725628
"11689",0.0840477390516074
"11690",0.0202179493409837
"11692",0.00537832587345636
"11694",0.149209921710644
"11695",0.131657273338905
"11702",0.00239332492298275
"11705",0.100161816205772
"11717",0.00291667433658791
"11720",0.191680749167584
"11722",0.0253508921665272
"11727",0.0244437466458768
"11732",0.00094968500324568
"11733",0.00689133225355536
"11735",0.00690584129418321
"11736",0.00337943117241307
"11737",0.00464876033057851
"11739",0.00450524645078478
"11740",0.00400494170722529
"11744",0.00930211405969963
"11745",0.0110770522642206
"11746",0.0155967322536394
"11747",0.00855908362709288
"11749",0.00356244497840082
"11750",0.00321633718890794
"11752",0.111543427522829
"11754",0.121946684018553
"11757",0.00329177984301554
"11758",0.00592795679419839
"11761",0.024795607516899
"11764",0.00188032352999798
"11765",0.00243865264441396
"11766",0.025398784645332
"11767",0.00261870772956417
"11768",0.0945047617957464
"11769",0.0101656667627224
"11770",0.44618773733238
"11771",0.00165231389269763
"11772",0.00199514840343037
"11773",0.00407070583767361
"11774",0.00189035916824197
"11775",0.00193701600628008
"11776",0.00129726863368158
"11777",0.00266638833261533
"11778",0.00154320524129102
"11781",0.00390094799857494
"11782",0.00455767416190425
"11783",0.00637706018904153
"11784",0.00177316686776165
"11785",0.00293290120616317
"11787",0.00382160647963397
"11789",0.0108791003700072
"11790",0.00177258470368393
"11792",0.00422381973263532
"11793",0.00284802198662669
"11796",0.0230833582425176
"11797",0.00327621774766969
"11798",0.00849108291029708
"11799",0.0784539418595364
"11800",0.00188154102250032
"11804",0.00175021060601971
"11806",0.332452649835198
"11807",0.0753965032998046
