"","GSE123582_F1, sedentary ; F1, sedentary "
"11298",-0.471
"11302",-0.6487
"11303",-0.3826
"11304",-1.8232
"11305",-0.768
"11306",1.9654
"11307",-1.4282
"11308",-0.1428
"11350",-2.0066
"11352",-1.2047
"11363",-0.4841
"11364",-0.7021
"11370",-1.0739
"11409",-1.1228
"11416",0.3218
"11418",-0.3102
"11419",1.0698
"11421",-1.4646
"11423",0.0701
"11426",0.6668
"11428",-1.2789
"11429",-1.8256
"11430",-1.1561
"11431",1.0525
"11432",0.8216
"11433",-0.8408
"11434",1.1207
"11435",0.3568
"11438",2.331
"11440",2.612
"11441",0.9203
"11443",0.6274
"11444",-0.5224
"11448",-2.0771
"11459",0.1732
"11461",-0.942
"11468",0.5692
"11472",-1.5866
"11474",-0.5813
"11475",1.2783
"11477",-0.3819
"11479",0.2236
"11480",1.6151
"11481",0.6311
"11482",-0.3468
"11484",2.2779
"11486",-1.0768
"11487",0.5316
"11488",-0.4862
"11489",0.9248
"11490",-1.6417
"11491",-1.0374
"11492",0.6694
"11496",0.3141
"11498",-0.3699
"11499",2.2973
"11501",-0.2055
"11502",0.0915
"11504",-0.6594
"11512",-1.7637
"11513",0.679
"11514",1.7481
"11515",-0.6572
"11516",0.5693
"11517",-1.7049
"11518",-1.107
"11519",-0.7067
"11520",-0.6224
"11522",-0.5675
"11532",0.0551
"11534",1.7603
"11535",0.5489
"11536",0.774
"11538",-0.0658
"11539",-0.4632
"11540",-0.1244
"11541",-0.1798
"11542",-2.0737
"11544",-0.3736
"11545",-2.2963
"11546",0.7719
"11548",2.0691
"11549",0.8436
"11550",-0.8488
"11551",-1.1367
"11552",-0.1816
"11553",-1.3109
"11554",0.8388
"11555",-0.0154
"11556",-1.1003
"11564",1.0151
"11565",-0.0957
"11566",1.5481
"11567",-0.1431
"11568",0.5045
"11569",-0.1678
"11593",-0.2284
"11595",-0.4241
"11596",1.1853
"11600",1.369
"11601",1.3855
"11602",-1.3754
"11603",-0.6901
"11604",1.3087
"11605",1.5055
"11606",2.2482
"11607",-0.6215
"11608",0.6418
