"","GSE124954_exercise"
"11298",-0.5554
"11302",0.2054
"11303",-0.0039
"11304",-0.2097
"11305",0.06
"11306",-0.1188
"11307",0.0206
"11308",0.0073
"11350",0.0377
"11352",0.1306
"11363",-0.0782
"11364",-0.0505
"11370",0.058
"11409",0.0676
"11416",-0.0369
"11418",0.0054
"11419",0.1869
"11421",-0.1789
"11423",0.198
"11426",-0.042
"11428",-0.0303
"11429",-0.0196
"11430",0.017
"11431",0.0056
"11432",-0.0096
"11433",0.7908
"11434",-0.1183
"11435",-0.1174
"11438",-0.0072
"11440",-0.2684
"11441",0.1538
"11443",0.5676
"11444",0.0784
"11459",0.227
"11465",0.0534
"11470",0.4883
"11471",0.1755
"11472",-0.0121
"11474",0.6335
"11475",0.3679
"11477",0.1332
"11479",0.1284
"11480",-0.1127
"11481",-0.0056
"11482",0.1963
"11484",-0.2247
"11486",-0.5601
"11487",-0.0028
"11488",0.0709
"11489",0.1913
"11490",0.0944
"11491",-0.1519
"11492",0.042
"11496",-0.025
"11498",-0.2067
"11499",-0.5209
"11501",-0.2753
"11502",-0.03
"11504",-0.3444
"11512",0.0342
"11513",0.0469
"11514",0.0335
"11515",0.1671
"11516",-0.1686
"11517",-0.0178
"11518",0.0753
"11519",0.1496
"11520",-0.1486
"11522",-0.3917
"11532",-0.0368
"11534",-0.0602
"11535",0.2304
"11536",0.259
"11538",0.0437
"11539",0.0055
"11540",-0.1333
"11541",-0.0759
"11542",0.3583
"11544",0.0343
"11545",0.0581
"11546",-0.0538
"11548",0.2208
"11549",0.0203
"11550",0.152
"11551",-0.2041
"11552",-0.2571
"11553",0.3362
"11554",0.1451
"11555",0.068
"11556",0.4323
"11564",0.0303
"11565",-0.0487
"11566",0.0033
"11567",0.2183
"11568",-0.5487
"11569",0.0822
"11593",0.0356
"11595",-0.0349
"11596",-0.2211
"11600",-0.1999
"11601",-0.014
"11603",0.2283
"11605",0.0152
"11606",-0.1029
"11607",0.3675
"11609",0.4681
"11610",0.0462
"11615",-0.134
"11622",0.0493
"11624",-0.0239
"11629",0.1668
"11630",-0.0388
"11632",-0.0866
"11634",0.2762
"11636",0.0305
"11637",0.0355
"11639",0.0192
"11640",-0.0177
"11642",1.0363
"11647",-0.0201
"11651",0.1123
"11652",0.097
"11655",-0.0289
"11656",0.1904
"11658",-0.0971
"11666",-0.1186
"11668",0.0828
"11669",4e-04
"11670",-0.0177
"11671",0.0589
"11676",0.0107
"11677",-0.0923
"11682",0.1535
"11684",1.0572
"11686",1.1569
"11687",-0.0189
"11688",-0.1671
"11689",0.3396
"11690",0.136
"11692",0.1614
"11694",-0.3123
"11695",0.0661
"11702",-2.335e-06
"11705",-0.186
"11717",-0.0387
"11722",-0.0385
"11727",0.2719
"11732",0.0131
"11733",-0.0289
"11735",-0.0669
"11736",-0.044
"11737",-0.1053
"11739",-0.027
"11740",0.007
"11744",0.1291
"11745",0.2087
"11746",0.0575
"11747",-0.0956
"11749",-0.0372
"11750",-0.1221
"11754",0.6112
"11757",0.0143
"11758",-0.1109
"11761",-0.0495
"11764",0.0714
"11765",-0.0036
"11766",0.087
"11767",0.0474
"11768",0.8124
"11769",0.159
"11771",0.1635
"11772",0.0477
"11773",-0.0081
"11774",-0.1427
"11775",3e-04
"11776",0.0568
"11777",-0.0763
"11778",0.0269
"11781",0.063
"11782",-0.012
"11783",-0.0281
"11784",0.0676
"11785",-0.0119
"11787",-0.0948
"11789",-0.1507
"11790",0.1933
"11792",-0.0105
"11793",-0.026
"11796",-0.1474
"11797",-0.0938
"11798",-0.0794
"11799",-0.048
"11800",-0.0775
"11803",-0.076
"11804",-0.0404
"11806",0.6977
"11807",0.0443
"11810",0.2347
"11811",-0.4687
"11812",0.3821
"11814",0.5531
"11815",-0.1579
"11816",-0.0931
"11818",-1.4889
"11819",0.1697
"11820",0.0892
"11821",-0.1315
"11826",1.0939
"11829",-0.2051
"11834",-0.0622
"11835",-0.1216
"11836",-0.0278
"11837",-0.0381
"11838",0.2731
"11840",0.0583
"11841",-0.0355
"11842",0.1399
"11843",-0.0627
"11844",4e-04
"11845",0.0973
"11846",-1.0924
"11847",-0.7743
"11848",0.0332
"11852",0.0772
"11853",-0.188
"11854",-0.2403
"11855",-0.1464
"11856",0.3471
"11857",0.2499
"11858",0.0812
"11861",-0.115
"11863",-0.0306
"11864",0.1065
"11865",0.0658
"11867",-0.1103
"11870",-0.7126
"11876",0.7067
"11877",0.061
"11878",0.1429
"11881",-0.2156
"11883",-0.0092
"11886",-0.0721
"11889",0.7668
"11891",-0.0107
"11898",-0.0416
"11899",-0.0935
"11905",-1.422
"11906",-0.2603
"11907",-0.0366
"11908",-0.19
"11909",-0.0618
"11910",0.3591
"11911",0.071
"11920",-0.0953
"11922",2e-04
"11923",0.0893
"11924",-0.0372
"11927",0.1681
"11928",0.0644
"11931",0.0796
"11932",-0.1925
"11933",-0.0406
"11936",-0.2567
"11937",0.0846
"11938",0.0335
"11941",0.1794
"11944",-0.946
"11946",0.0761
"11949",-0.0632
"11950",-0.0412
"11951",0.0071
"11957",-0.0373
"11958",0.0583
"11964",-0.0311
"11966",-0.0453
"11972",0.0326
"11973",-0.0453
"11974",-0.1602
"11975",0.0217
"11977",-0.0939
"11979",0.0326
"11980",-0.1083
"11981",0.1419
"11982",-0.0927
"11983",-0.116
"11984",-0.0618
"11987",0.2405
"11988",-0.0725
"11989",0.5526
"11990",0.0052
"11991",0.0872
"11992",0.0072
"11993",0.0029
"11994",-0.1556
"11998",0.7268
"12000",-1.0228
"12005",0.1026
"12006",0.032
"12009",0.19
"12010",-0.143
"12012",-0.3052
"12013",0.0275
"12014",-0.0462
"12015",-0.1426
"12017",-0.0547
"12018",-0.0483
"12021",-0.0368
"12023",0.2755
"12028",-0.0745
"12029",-0.2915
"12032",0.0874
"12033",0.0324
"12034",0.0551
"12035",-0.0304
"12036",0.1389
"12038",-0.2
"12039",-0.0966
"12040",-0.0686
"12041",-0.0382
"12042",0.0493
"12043",-0.0178
"12044",-0.7966
"12045",0.4171
"12047",0.1114
