"","GSE179081_physical activity derived from voluntary running"
"11287",-0.6188
"11298",-0.5264
"11302",-0.172
"11303",-0.2118
"11304",1.2975
"11305",-0.243
"11306",0.2467
"11307",-0.0595
"11308",0.0511
"11350",-0.0863
"11352",-0.0374
"11363",0.0701
"11364",0.0522
"11370",0.1915
"11409",0.2908
"11416",0.2404
"11418",-0.0996
"11419",-0.0083
"11421",1.3014
"11423",-0.153
"11426",-0.1944
"11428",0.067
"11429",-0.0123
"11430",-0.0084
"11431",0.1339
"11432",-0.0778
"11433",-0.0703
"11434",-0.0103
"11435",0.3497
"11438",-0.2594
"11441",0.0112
"11443",0.045
"11444",-0.1292
"11448",-1.4157
"11459",0.3191
"11461",0.0439
"11465",0.1082
"11470",0.8905
"11472",-0.2047
"11474",0.731
"11475",-0.9832
"11477",0.2518
"11479",0.0117
"11480",0.164
"11481",-0.2407
"11482",-0.3938
"11484",-0.2681
"11486",0.0604
"11487",0.0485
"11488",-0.1725
"11489",-0.4046
"11490",-0.2462
"11491",-0.0298
"11492",-0.1388
"11496",0.0359
"11497",0.5077
"11498",1.6938
"11499",0.1102
"11501",-0.3307
"11502",0.0172
"11504",0.1278
"11512",-0.1304
"11513",0.1223
"11514",0.1043
"11515",-0.1188
"11516",0.2629
"11517",-0.0788
"11518",-0.0418
"11519",0.0552
"11520",0.202
"11522",0.1542
"11529",-0.447
"11532",0.2595
"11534",0.1818
"11535",0.2135
"11536",-0.8265
"11538",0.1669
"11539",-0.0259
"11540",-0.012
"11541",-0.0499
"11542",-0.3186
"11544",0.139
"11545",-0.1063
"11546",-0.0144
"11548",0.1312
"11549",-0.3664
"11550",0.1729
"11551",-0.3066
"11553",0.4467
"11554",0.1759
"11555",-0.1401
"11556",0.862
"11564",0.0233
"11565",0.2176
"11566",0.1104
"11567",-1.7029
"11568",-0.2925
"11569",0.0765
"11593",0.1023
"11595",-0.5014
"11596",-0.2929
"11600",-0.3455
"11601",-0.1366
"11602",0.886
"11603",-0.1598
"11604",-0.233
"11605",0.276
"11606",-0.5987
"11607",0.2918
"11609",0.3533
"11610",-0.0189
"11615",-0.2708
"11622",-0.0962
"11624",0.1742
"11629",0.4748
"11630",0.587
"11632",0.0791
"11634",-0.5447
"11636",0.072
"11637",-0.1633
"11639",-0.1388
"11640",0.0187
"11642",0.837
"11647",0.282
"11651",-0.0013
"11652",0.061
"11655",-0.0537
"11656",-0.3656
"11658",-0.0481
"11666",-0.2038
"11668",0.1395
"11669",0.277
"11670",-0.2207
"11671",0.0266
"11674",0.0568
"11676",-0.0671
"11677",0.0562
"11682",-0.4522
"11684",-0.6746
"11686",-0.4119
"11687",-0.0119
"11688",-0.2526
"11689",-0.0772
"11690",-0.19
"11692",-0.1065
"11694",-1.3594
"11695",0.1462
