"","GSE179081_physical activity derived from voluntary running"
"11287",-0.6487
"11298",-0.9004
"11302",-1.8085
"11303",-1.7487
"11304",1.5636
"11305",-2.7219
"11306",2.3605
"11307",-0.5711
"11308",0.5092
"11350",-0.7506
"11352",-0.4159
"11363",0.456
"11364",0.4826
"11370",1.295
"11409",1.3694
"11416",1.7041
"11418",-0.8007
"11419",-0.0545
"11421",1.7579
"11423",-1.0222
"11426",-2.2959
"11428",0.6714
"11429",-0.1499
"11430",-0.0999
"11431",1.1968
"11432",-0.8314
"11433",-0.0507
"11434",-0.0294
"11435",1.0809
"11438",-2.1053
"11441",0.0954
"11443",0.1453
"11444",-1.3362
"11448",-1.2095
"11459",1.1583
"11461",0.4855
"11465",1.0385
"11470",0.8034
"11472",-1.8214
"11474",1.7194
"11475",-2.3864
"11477",2.8288
"11479",0.102
"11480",1.191
"11481",-1.6334
"11482",-1.959
"11484",-0.7033
"11486",0.1177
"11487",0.5756
"11488",-1.5795
"11489",-2.1066
"11490",-2.4429
"11491",-0.2491
"11492",-0.6241
"11496",0.403
"11497",0.5808
"11498",3.1498
"11499",0.1846
"11501",-0.663
"11502",0.1737
"11504",0.9047
"11512",-0.8772
"11513",0.7416
"11514",0.4849
"11515",-1.1285
"11516",0.5683
"11517",-0.2782
"11518",-0.5201
"11519",0.305
"11520",0.7963
"11522",0.1359
"11529",-0.5683
"11532",2.4363
"11534",1.695
"11535",0.4429
"11536",-1.8379
"11538",0.4062
"11539",-0.271
"11540",-0.0286
"11541",-0.1385
"11542",-0.6534
"11544",1.2785
"11545",-0.8736
"11546",-0.1136
"11548",0.4165
"11549",-2.029
"11550",1.2602
"11551",-0.9536
"11553",1.5634
"11554",1.0409
"11555",-0.3541
"11556",1.3365
"11564",0.165
"11565",0.744
"11566",0.7404
"11567",-2.5414
"11568",-0.7427
"11569",0.7896
"11593",0.4321
"11595",-1.423
"11596",-0.4404
"11600",-2.0582
"11601",-0.3298
"11602",0.8268
"11603",-1.7307
"11604",-0.4062
"11605",1.6281
"11606",-3.2746
"11607",0.7122
"11609",0.7
"11610",-0.1146
"11615",-2.1042
"11622",-0.3753
"11624",0.432
"11629",1.842
"11630",1.2658
"11632",0.8045
"11634",-0.8539
"11636",0.7513
"11637",-1.2445
"11639",-0.7786
"11640",0.1307
"11642",1.182
"11647",0.9577
"11651",-0.0137
"11652",0.3981
"11655",-0.5248
"11656",-1.1382
"11658",-0.2566
"11666",-1.5574
"11668",0.7924
"11669",1.7302
"11670",-0.4797
"11671",0.2305
"11674",0.5731
"11676",-0.6951
"11677",0.4906
"11682",-1.7898
"11684",-1.2031
"11686",-0.9066
"11687",-0.0531
"11688",-1.0149
"11689",-0.1522
"11690",-0.5096
"11692",-0.6449
"11694",-1.445
"11695",0.2561
"11702",1.1585
"11705",1.783
"11717",0.2478
"11722",-0.9122
"11727",-0.7748
"11732",1.3442
"11733",-2.4959
"11735",-0.7964
"11736",-0.0374
"11737",-0.0446
"11739",1.6438
"11740",2.7233
"11744",-0.4143
"11745",0.2167
"11746",0.2406
"11747",-0.1266
"11749",1.1739
"11750",-0.6091
"11752",-9e-04
"11754",0.1607
"11757",1.5951
"11758",-0.9332
"11761",0.5613
"11764",0.4028
"11765",-0.4676
"11766",-2.2048
"11767",-0.6266
"11768",-0.9085
"11769",1.6596
"11770",0.1567
"11771",-0.9836
"11772",1.0114
"11773",-0.0642
"11774",-0.0411
"11775",-0.5323
"11776",-1.1225
"11777",-0.0874
"11778",0.5786
"11781",-0.8757
"11782",4.0096
"11783",-0.11
"11784",-1.4645
"11785",-0.0424
"11787",-0.4504
"11789",-1.5908
"11790",-1.5691
"11792",1.0083
"11793",1.1622
"11796",0.0781
"11797",0.6474
"11798",2.1388
"11799",-1.2043
"11800",2.3663
"11803",0.5195
"11804",0.3493
"11806",-0.4152
"11807",0.4083
"11810",0.7184
"11811",1.8287
"11812",-1.3657
"11814",-3.1882
"11815",-1.7831
"11816",-1.9945
"11818",-0.5333
"11819",-0.291
"11820",-0.7056
"11821",1.7502
"11826",1.3691
"11829",-5.0075
"11831",-0.2373
"11832",-1.5275
"11834",-1.5096
"11835",-2.6659
"11836",3.1423
"11837",1.2773
"11838",-5.1203
"11840",-0.3207
"11841",1.7321
"11842",1.6136
"11843",1.9533
"11844",2.1467
"11845",1.9687
"11846",-0.3208
"11847",-0.9485
"11848",-0.2954
"11852",2.7013
"11853",0.6784
"11854",1.4186
"11855",-0.2801
"11856",-0.8192
"11857",-1.567
"11858",0.6634
"11861",0.9324
"11863",-1.4192
"11864",-1.0005
"11865",1.0629
"11867",2.8642
"11870",0.2769
