"","GSE1833_environmental enrichment"
"100036765",-0.0179
"100125364",0.0363
"100125370",-0.0372
"100125371",0.0122
"100125373",0.03
"100126191",0.0357333333333333
"100145871",-0.0653
"100158233",0.0132
"100174909",0.0295
"100174910",0.0416
"100188932",0.05035
"100188937",0.0601
"100188944",0.0253
"100189544",0.0108
"100190936",-0.0551
"100192313",0.0604
"100196907",-0.0698
"100233176",-0.0351
"100294508",0.0185
"100301568",0.171
"100302372",0.0634
"100302447",0.1384
"100302453",0.0367
"100303643",-0.0275
"100310874",-5e-04
"100312735",-0.0246
"100322884",0.2041
"100359861",0.0351
"100359946",0.0427
"100359982",0.0067
"100360066",0.0351
"100360077",0.0031
"100360180",0.0623
"100360302",-0.0247
"100360334",-0.1535
"100360427",0.001
"100360501",-0.0179
"100360582",0.0477
"100360682",0.0058
"100360872",0.0421
"100360880",0.3109
"100361138",-0.0392
"100361269",0.0014
"100361294",-0.0119
"100361376",0.002
"100361417",-0.0143
"100361444",0.0045
"100361506",0.0336
"100361574",0.0458
"100361647",-0.001
"100361733",0.0668
"100361884",-0.0402
"100362005",0.0411
"100362121",0.0311
"100362331",-0.0237
"100362347",0.0688
"100362640",0.0582
"100362805",0.0702
"100363521",0.0755
"100364523",0.0118
"100365504",0.0299
"100365872",0.0061
"100365921",0.0272
"100526644",0.0572
"100529260",-0.0131
"100534597",-0.0491
"100909827",-0.0738
"100909970",-0.0322
"100910202",0.0439
"100910237",-0.0777
"100910318",0.0231
"100910558",0.0824
"100910827",-0.00995
"100910872",0.0267
"100910940",0.1125
"100910973",0.1149
"100910996",-0.0021
"100911177",-0.0388
"100911235",-0.1099
"100911360",-0.0259
"100911483",0.0399
"100911581",0.013
"100911627",0.0283
"100911652",0.0484
"100911664",0.0158
"100911717",0.0908
"100911740",-0.0325
"100912041",-0.0733
"100912108",-0.0269
"100912115",-0.0201
"100912525",0.0057
"102238592",-0.1059
"102549710",0.0612
"102549726",-0.0091
"102550394",0.0457
"102552664",-0.0949
"102553861",-0.0215
"102554586",-0.0331
"102554884",-0.0361
"102557319",0.0692
"103689992",0.0315
"103690123",0.0482
"103690132",0.0028
"103691034",0.04645
"103691906",0.0362
"103692131",0.0161
"103693239",-0.00325
"104845258",0.0817
"104845260",0.01515
"104940696",0.0184
"106345158",-0.037
"106345160",-0.0117
"106631776",0.0371
"108348073",-0.0473666666666667
"110596864",-0.0208
"112400",-0.0373166666666667
"113882",0.0181
"113892",-0.0626
"113893",-0.05915
"113894",-0.0441
"113898",-0.0028
"113901",0.0558
"113906",0.01735
"113907",-0.02745
"113911",0.0098
"113912",-0.0253
"113914",-0.0625
"113918",-0.0876
"113922",-0.0221
"113927",0.0818
"113929",-0.0087
"113931",-0.0384
"113936",0.1038
"113940",0.0602
"113947",0.0154
"113948",0.113
"113955",0.266
"113956",-0.0478
"113958",-0.0118
"113959",0.0073
"113960",-0.00055
"113961",-0.0125
"113965",0.0768
"113970",9e-04
"113975",-0.0196
"113976",-0.022
"113983",0.0563
"113984",-0.2038
"113990",0.0073
"113995",0.0031
"114002",-0.0494
"114004",0.1655
"114017",-0.031
"114020",0.0362
"114021",0.1048
"114023",-0.0093
"114024",-0.0407
"114027",-5e-04
"114029",-0.1534
"114031",0.0424
"114032",-0.047
"114087",0.0573
"114089",-0.0709
"114090",0.20995
"114091",0.0451
"114093",-0.0714
"114095",0.1324
"114096",0.0789
"114097",0.0518
"114098",-0.041
"114099",-0.06
"114100",0.0078
"114101",-0.0123
"114102",0.034
"114103",0.0868
"114104",0.0098
"114105",-0.0832
"114106",0.0807
"114107",0.0279
"114108",0.0479
"114109",-0.0511
"114110",0.014
"114111",0.0035
"114113",-0.0526
"114114",0.0411
"114115",-0.00616666666666667
"114116",0.0298
"114117",-0.0733
"114119",0.1214
"114121",0.0731
"114122",0.01095
"114123",-0.0313
"114124",0.000699999999999999
"114125",-0.0112
"114200",0.0024
"114202",-0.0034
"114203",-0.0302
"114205",-0.0614
"114206",-0.0115
"114209",0.0722
"114210",-0.0652
"114212",-0.0285
"114213",-0.0135
"114214",-0.02595
"114215",-0.0673
"114216",0.1674
"114217",0.0405
"114243",0.0011
"114244",-0.0739
"114245",-0.0734
"114246",0.0301
"114247",-0.0632
"114248",-0.0464
"114300",0.0784
"114481",-0.02825
"114485",0.0739
"114488",-0.0951
"114489",-0.008
"114490",0.03365
"114491",0.0305
"114492",-6e-04
"114493",0.0028
"114495",-0.1333
"114496",0.0035
"114498",0.0522
"114499",-0.1017
"114505",-0.1453
"114506",0.0629
"114508",0.0015
"114509",-0.0491
"114510",-0.0203
"114511",0.0147
"114512",0.0082
"114513",-0.0673
"114514",-0.0212
"114515",0.0067
"114517",-0.0054
"114518",-0.0381
"114519",-0.0077
"114520",0.1016
"114521",0.0087
"114522",-0.0604
"114523",0.0682
"114552",0.0033
"114553",0.0187
"114554",-0.0282
"114555",-0.0308
"114558",0.0683
"114559",0.0491
"114560",0.075
"114561",-0.0363
"114562",0.031
"114587",-0.0687
"114589",0.0102
"114590",-0.0106
"114591",-0.0064
"114592",0.1013
"114593",0.011
"114596",0.0446
"114597",-0.1055
"114598",0.0814
"114612",-0.0122
"114613",0.0618
"114628",0.0766
"114629",-0.0347
"114632",0.0305
"114633",0.0164
"114634",0.0286
"114635",0.0116
"114636",0.0409
"114638",-0.0513
"114639",0.067
"114700",0.0108
"114705",0.0135
"114709",0.0585
"114711",-0.003
"114764",0.0254333333333333
"114766",0.039
"114767",0.0531
"114768",-0.0291
"114839",0.0814
"114845",-0.0917
"114846",0.0229
"114851",0.0116
"114856",0.2001
"114858",0.0079
"114859",-0.0468
"114860",-0.0069
"114861",-0.059
"114862",-0.7349
"114901",-0.0271
"114903",0.0118
"114906",-0.0056
"115768",0.0191
"115769",0.1312
"115771",0.1145
"116456",0.0313
"116457",-0.04075
"116458",0.0096
"116459",-0.0234
"116463",0.0244
"116464",-0.00165
"116465",0.0965
"116466",0.0418
"116467",0.0161
"116468",0.0606
"116469",-0.0512
"116470",-0.07955
"116472",-0.0711
"116474",0.0768
"116475",-0.0182
"116477",-0.00746666666666666
"116478",-0.0242
"116479",-0.0114
"116482",-0.023
"116483",-0.077
"116484",0.0349
"116486",-0.04405
"116487",-0.0017
"116489",0.0088
"116490",-0.0131
"116491",-0.05115
"116493",-0.0318
"116498",0.0557
"116499",-0.0741
"116500",0.0158
"116501",0.01105
"116502",-0.0261
"116504",-0.0315
"116506",0.0875
"116508",0.0295
"116509",0.0843
"116510",0.0526
"116543",0.0091
"116544",0.0446
"116545",0.0326
"116546",0.0497
"116547",-0.0152
"116548",0.0084
"116549",0.0299
"116550",0.0111
"116551",0.0538
"116552",0.0039
"116553",-0.0117
"116554",-0.0777
"116555",-0.0867
"116556",-0.0342
"116557",0.0265
"116560",-0.1519
"116561",-0.0318
"116562",-0.0716
"116563",-0.0407
"116564",0.0491
"116565",-0.0278
"116568",-0.0129
"116590",0.0242666666666667
"116592",-0.0345
"116593",-0.0075
"116595",-0.06885
"116596",0.0356
"116597",-0.1529
"116598",0.0894
"116599",-0.0034
"116600",0.0712
"116601",0.0221
"116630",0.0041
"116631",-0.0112
"116632",-0.0183
"116633",-0.0442
"116635",0.0474
"116636",0.0273
"116637",0.0458
"116638",0.1917
"116639",-0.2197
"116641",0.01405
"116642",-0.1109
"116643",-0.0131
"116645",0.0134
"116648",0.0185
"116649",-0.01475
"116653",-0.0174
"116655",0.0526
"116656",-0.0862
"116657",-0.0223
"116658",0.0608
"116659",-0.007
"116660",-0.0352
"116662",-0.0486
"116663",0.1395
"116664",0.0464
"116665",-0.07325
"116666",0.0316
"116667",0.2434
"116668",-0.0692
"116669",0.0851
"116670",-0.0025
"116671",0.0465
"116673",-0.0522333333333333
"116674",0.0012
"116675",0.1185
"116676",-0.0494
"116677",-0.0285
"116679",0.042
"116681",-0.0825
"116682",-0.003
"116683",-0.0162
"116684",-0.1664
"116685",-0.02445
"116686",0.0607
"116687",0.0251
"116689",0.0713
"116690",-0.00405
"116691",-0.0574
"116692",-0.0047
"116693",-0.0704
"116694",0.0706
"116695",-0.1017
"116696",-0.085
"116697",-0.0593
"116698",-0.0211
"116699",0.0871
"116700",-0.0084
"116711",-0.0399
"116717",-0.0256
"116718",-0.0946
"116720",0.0726
"116721",-0.121
"116722",0.0484
"116723",0.0117
"116724",0.0023
"116725",-0.00615
"116726",-0.0358
"116728",-0.0544
"116743",0.0316
"116744",0.06705
"116745",0.0259
"116777",0.0242
"116831",0.0568
"116839",-0.0642
"116967",0.1825
"116996",0.0348
"117016",-0.0543
"117017",0.0208
"117018",-0.0554
"117019",-0.0202
"117020",-0.0478
"117021",0.0564
"117022",0.045
"117023",-0.0066
"117024",-0.1487
"117026",-0.0313
"117027",0.0443
"117028",0.0385
"117029",0.0313
"117030",0.0266
"117033",0.0308
"117034",-0.0142
"117035",0.0217
"117036",-0.05655
"117037",-0.0468
"117038",0.061
"117039",-0.023
"117041",0.0208
"117042",0.0203
"117044",0.0103
"117045",-0.00315
"117048",-0.0319
"117049",0.0406
"117051",-0.0427
"117052",0.0121
"117054",0.0877
"117055",0.0165
"117056",0.0162666666666667
"117057",0.0646
"117059",0.0189
"117061",-0.0295
"117063",-0.0351
"117064",-0.0286
"117088",0.0356
"117089",-0.0263
"117092",-0.0318
"117096",-0.0147
"117098",0.0477
"117099",-0.0082
"117100",-0.0287
"117101",-0.018475
"117103",0.0395
"117104",0.0358
"117105",-0.0415
"117106",0.1075
"117107",-0.0791
"117108",0.0303
"117130",0.0444
"117140",-0.1075
"117152",-0.0138
"117179",0.0213
"117180",0.11775
"117182",-0.0377
"117183",0.0492
"117184",-0.0232
"117185",0.0392
"117186",-0.054
"117232",-0.0503
"117240",-0.0287
"117241",-9e-04
"117242",-0.0489
"117243",0.0051
"117254",0.0298
"117255",-0.0278
"117256",-0.1451
"117257",0.045
"117258",0.0168
"117259",0.0418
"117260",0.0318
"117261",0.0186
"117262",0.0062
"117263",-0.0497
"117264",0.0371
"117265",-0.0544
"117267",-0.0899
"117268",0.03975
"117269",-0.0229
"117270",0.0021
"117271",-0.0867
"117272",0.0372
"117273",-0.0155
"117274",0.0149
"117276",0.0384
"117277",-0.0908
"117278",0.0094
"117279",-0.0023
"117280",0.0792
"117281",-0.0151
"117282",-0.0228
"117284",-0.1803
"117287",0.0544
"117505",0.096
"117512",-0.0264
"117513",-0.0804
"117514",0.2539
"117515",0.0867
"117516",0.001
"117518",-0.05
"117519",0.0066
"117520",-0.0128
"117522",-0.0115
"117523",-0.0076
"117526",0.0232
"117533",0.0479
"117536",0.0449
"117537",-0.0287
"117538",-0.0194
"117539",-0.0736
"117540",-0.0751
"117541",-0.0517
"117542",0.1665
"117543",0.0729
"117544",-0.0156
"117547",-0.0303
"117548",0.0557
"117549",0.1125
"117551",-0.0091
"117552",0.0519
"117553",0.0283
"117554",-0.0508
"117556",-0.2108
"117557",0.0367
"117558",0.02085
"117559",0.0924
"117560",0.11075
"117582",0.0186
"117596",-0.03245
"117855",-0.0701
"117903915",0.04685
"117955",-0.1111
"120097610",0.00745
"124451",-0.0739
"124461",0.0365
"140433",-0.0062
"140447",0.0416
"140448",-0.0163
"140473",0.1535
"140544",0.0687
"140547",0.0084
"140568",0.0017
"140581",-0.0619
"140583",-0.0172
"140585",-0.0024
"140590",0.038
"140592",-0.0716
"140593",0.034
"140594",-0.0026
"140595",0.0443
"140607",0.0238
"140608",0.01275
"140610",0.1226
"140638",-0.1164
"140639",-0.0601
"140654",0.0334
"140656",0.0355
"140657",-0.0256
"140661",-0.0277
"140662",-0.0071
"140665",0.0323
"140666",-0.0022
"140668",0.007
"140669",0.0206
"140670",0.06165
"140671",-0.0113
"140673",0.0411
"140674",0.0428
"140675",0.1395
"140693",0.0322
"140694",-0.0149
"140720",0.043
"140722",-0.0204
"140724",0.0408
"140725",-0.0446
"140726",-0.0395
"140727",0.0451
"140728",-0.0627
"140729",-0.0984
"140734",0.0018
"140860",0.01315
"140866",0.1468
"140868",0.0095
"140908",-0.0212
"140910",0.0626
"140914",-0.0108
"140915",0.0296
"140922",0.0273
"140923",-0.005
"140924",0.0426
"140925",0.104
"140926",-0.0369
"140928",0.087
"140929",-0.0537
"140930",0.0348
"140931",0.0746
"140932",0.0492
"140933",0.0104
"140934",0.0428
"140935",0.0536
"140936",0.0444
"140937",0.02285
"140938",0.0733
"140939",-0.0145
