"","GSE1833_environmental enrichment"
"100036765",-0.3353
"100125364",0.7848
"100125370",-0.7168
"100125371",0.3298
"100125373",0.4076
"100126191",0.491766666666667
"100145871",-1.4345
"100158233",0.1876
"100174909",0.5438
"100174910",0.728
"100188932",0.62545
"100188937",1.4725
"100188944",0.6279
"100189544",0.2431
"100190936",-0.6718
"100192313",0.82125
"100196907",-1.615
"100233176",-0.4405
"100294508",0.3525
"100301568",2.5236
"100302372",1.1911
"100302447",1.6218
"100302453",0.7891
"100303643",-0.5708
"100310874",-0.0095
"100312735",-0.6173
"100322884",2.4011
"100359861",0.3905
"100359946",0.8246
"100359982",0.121
"100360066",0.7101
"100360077",0.0269
"100360180",0.9243
"100360302",-0.4173
"100360334",-2.0763
"100360427",0.0178
"100360501",-0.3088
"100360582",1.1083
"100360682",0.1099
"100360872",1.0643
"100360880",3.0124
"100361138",-0.6299
"100361269",0.0212
"100361294",-0.1707
"100361376",-0.09965
"100361417",-0.2919
"100361444",0.0883
"100361506",0.7926
"100361574",0.5932
"100361647",-0.0223
"100361733",0.9969
"100361884",-0.7952
"100362005",0.4992
"100362121",0.5326
"100362331",-0.396
"100362347",0.9179
"100362640",1.1761
"100362805",1.3207
"100363521",1.6131
"100364523",0.257
"100365504",0.5585
"100365872",0.0908
"100365921",0.3477
"100526644",1.1418
"100529260",-0.261
"100534597",-0.7927
"100909827",-0.8906
"100909970",-0.4088
"100910202",0.6549
"100910237",-1.4206
"100910318",0.4377
"100910558",1.0058
"100910827",-0.1627
"100910872",0.3724
"100910940",1.7509
"100910973",1.5894
"100910996",-0.0394
"100911177",-0.8579
"100911235",-1.3006
"100911360",-0.7113
"100911483",0.7303
"100911581",0.2273
"100911627",0.5574
"100911652",0.7745
"100911664",0.2855
"100911717",1.446
"100911740",-0.6241
"100912041",-0.7152
"100912108",-0.3387
"100912115",-0.20395
"100912525",0.097
"102238592",-1.7246
"102549710",1.3308
"102549726",-0.1855
"102550394",0.9432
"102552664",-1.5279
"102553861",-0.4846
"102554586",-0.4545
"102554884",-0.705
"102557319",1.382
"103689992",0.6931
"103690123",0.8011
"103690132",0.05
"103691034",0.72285
"103691906",0.448
"103692131",0.3852
"103693239",0.00870000000000001
"104845258",1.6171
"104845260",0.0904
"104940696",0.2057
"106345158",-0.7956
"106345160",-0.2205
"106631776",0.6398
"108348073",-0.7954
"110596864",-0.3061
"112400",-0.713266666666667
"113882",0.3881
"113892",-0.6461
"113893",-0.70535
"113894",-0.8193
"113898",-0.0516
"113901",0.9294
"113906",0.3164
"113907",-0.37325
"113911",0.1998
"113912",-0.20875
"113914",-1.3931
"113918",-0.629
"113922",-0.2212
"113927",0.7959
"113929",-0.1418
"113931",-0.755
"113936",2.2032
"113940",1.0567
"113947",0.1743
"113948",0.9729
"113955",1.4083
"113956",-0.8204
"113958",-0.2218
"113959",0.1273
"113960",0.0277
"113961",-0.2373
"113965",1.2404
"113970",0.0196
"113975",-0.3082
"113976",-0.3257
"113983",0.9554
"113984",-3.7722
"113990",0.1322
"113995",0.10085
"114002",-1.0677
"114004",3.0924
"114017",-0.2238
"114020",0.479
"114021",1.7788
"114023",-0.136
"114024",-0.6286
"114027",-0.0116
"114029",-0.9786
"114031",0.898
"114032",-0.8684
"114087",0.7858
"114089",-0.8302
"114090",1.9646
"114091",0.926
"114093",-1.0815
"114095",1.6925
"114096",1.2609
"114097",0.9215
"114098",-0.835
"114099",-1.0632
"114100",0.0994
"114101",-0.2139
"114102",0.4687
"114103",1.6749
"114104",0.18255
"114105",-1.5252
"114106",1.4766
"114107",0.528
"114108",0.5461
"114109",-1.0416
"114110",0.3333
"114111",0.0722
