"","GSE184615_enrichment"
"11302",0.032
"11303",-0.1931
"11304",0.4511
"11305",0.1083
"11306",-0.0434
"11307",-0.1611
"11308",-0.0901
"11350",0.0072
"11352",-0.1252
"11363",-0.0768
"11364",0.0334
"11370",0.0641
"11409",0.1548
"11416",0.015
"11418",-0.1319
"11419",0.0633
"11421",0.0593
"11423",0.0787
"11428",0.1395
"11429",0.0124
"11430",0.053
"11431",0.0262
"11432",-0.0407
"11433",0.2402
"11434",-0.3446
"11435",0.6402
"11438",0.3307
"11440",0.2695
"11441",-0.0155
"11443",-0.6584
"11444",-0.135
"11459",-0.1402
"11465",0.027
"11472",0.2718
"11474",-0.3386
"11475",0.7855
"11477",-0.0425
"11479",-0.1006
"11480",0.2674
"11481",0.253
"11482",-0.0439
"11484",-0.1652
"11486",-0.063
"11487",-0.0808
"11488",0.1553
"11489",0.4788
"11490",0.0522
"11491",0.2306
"11492",0.4627
"11496",0.0209
"11498",-0.2233
"11499",0.7275
"11501",-0.3541
"11502",0.0738
"11504",-0.1558
"11512",0.1277
"11513",0.1856
"11514",0.3885
"11515",-0.2071
"11516",0.4119
"11517",-0.1003
"11518",0.0323
"11519",-0.131
"11520",-0.1431
"11522",0.1126
"11532",-0.0352
"11534",0.0263
"11535",0.4444
"11536",-0.251
"11538",0.2421
"11539",0.0985
"11540",0.0823
"11541",0.0425
"11542",-0.1973
"11544",-0.0692
"11545",-0.0407
"11546",-0.0474
"11548",-0.0164
"11549",0.0836
"11550",-0.2243
"11551",0.3527
"11552",-1.1071
"11553",0.0109
"11554",0.0081
"11555",0.1377
"11556",-0.3762
"11564",0.0103
"11565",0.1463
"11566",0.004
"11567",0.5
"11568",0.3383
"11569",-0.119
"11593",-0.0952
"11595",-0.2727
"11600",0.4222
"11601",0.205
"11603",0.0941
"11605",-0.1953
"11606",0.539
"11607",0.3003
"11609",0.9809
"11610",0.1326
"11615",1.4753
"11622",0.1466
"11624",-0.4491
"11629",0.0018
"11630",0.0625
"11632",-0.0195
"11636",0.049
"11637",0.0997
"11639",0.1125
"11640",0.0302
"11647",-0.3752
"11651",-0.1566
"11652",0.1694
"11655",-0.0385
"11656",-0.2001
"11658",0.0679
"11666",0.0508
"11668",0.0196
"11669",-0.1788
"11670",-0.3349
"11671",0.0897
"11676",0.0662
"11677",-0.12
"11682",-0.2124
"11684",-0.8778
"11686",-1.0206
"11687",0.1638
"11688",-0.3143
"11689",0.1218
"11690",-0.296
"11692",0.0875
"11694",0.5958
"11695",0.4474
"11702",-0.1439
"11717",-0.0979
"11722",-0.0772
"11727",0.1486
"11732",-0.0422
"11733",-0.0959
"11735",4e-04
"11736",0.0805
"11737",-0.0092
"11739",0.0381
"11740",-0.0019
"11744",-0.5829
"11745",-0.0586
"11746",-0.0598
"11747",0.0062
"11749",-0.2251
"11750",-0.0409
"11752",1.2942
"11754",0.5751
"11757",0.014
"11758",-0.0608
"11761",-0.4703
"11764",-8e-04
"11765",0.0759
"11766",-0.2398
"11767",0.0546
"11768",0.911
"11769",0.0599
"11771",0.0206
"11772",0.0182
"11773",0.0514
"11774",-0.1529
"11775",0.0459
"11776",-0.056
"11777",0.1151
"11778",0.0345
"11781",0.2093
"11782",0.0484
"11783",-0.0026
"11784",0.0501
"11785",0.0075
"11787",0.0211
"11789",0.3327
"11790",-0.1213
"11792",0.0281
"11793",-0.0062
"11796",-0.0233
"11797",0.1178
"11798",0.074
"11799",-0.3972
"11800",-0.0874
"11803",-0.0278
"11804",0.0057
"11807",0.1652
"11810",-0.2104
"11812",0.5314
"11815",-0.1162
"11816",-0.0208
"11818",-1.4032
"11819",0.562
"11820",-0.0429
"11821",0.1279
"11826",0.119
"11829",0.1501
"11834",0.0426
"11835",-0.1007
"11836",0.0362
"11837",0.0592
"11838",0.2392
"11840",-0.0647
"11841",0.0562
"11842",-0.1295
"11843",0.0645
"11844",0.0988
"11845",0.0828
"11847",-0.116
"11848",0.0434
"11852",-0.0271
"11853",0.3159
"11854",0.3717
"11855",-0.0475
"11856",0.6552
"11857",0.24
"11858",0.2321
"11861",0.1462
"11863",-0.0182
"11864",0.0855
"11865",-0.0461
"11867",0.5025
"11876",-0.754
"11877",0.1184
"11878",0.0561
"11881",0.1297
"11883",-8e-04
"11886",-0.017
"11889",-0.1178
"11891",-0.1491
"11898",-0.1483
"11899",0.1429
"11906",0.0213
"11907",0.0047
"11908",0.0427
"11909",-0.0119
"11910",-0.1879
"11911",-0.0971
"11920",0.0127
"11922",-0.0933
"11923",-0.6305
"11924",0.9002
"11927",0.0927
"11928",-0.0866
"11931",0.0034
"11932",0.2382
"11933",-0.1098
"11936",0.2958
"11941",-0.0378
"11944",-0.0991
"11946",-0.0266
"11949",-0.0177
"11950",0.0828
"11951",0.0441
"11957",0.0106
"11958",0.0195
"11964",0.0405
"11966",0.0238
"11972",0.0437
"11973",0.0017
"11974",0.0317
"11975",0.0443
"11977",0.0134
"11979",0.0308
"11980",-0.0445
"11981",0.03
"11982",-0.1096
"11983",0.1184
"11984",0.0942
"11987",0.0845
"11988",-0.1015
"11989",0.3035
"11990",0.026
"11991",-0.0979
"11992",0.0355
"11993",-0.0567
"11994",0.319
"12005",0.0036
"12006",-0.0685
"12009",-0.0078
"12010",-0.1615
"12012",-0.7936
"12013",-0.0683
"12014",0.1706
"12015",0.072
"12017",0.1199
"12018",0.0634
"12021",0.67
"12023",0.429
"12028",-0.0435
"12029",-0.3355
"12032",0.0418
"12033",-0.1022
"12034",0.0311
"12035",-0.0941
"12036",-0.1343
"12038",0.4461
"12039",-0.0321
"12040",-0.0609
"12041",-0.0364
"12042",0.0533
"12043",0.1475
"12045",0.619
"12048",0.0035
"12050",0.0269
"12053",-0.2317
"12054",-0.1956
"12055",0.0076
"12062",-0.5354
"12064",0.0052
"12068",-0.0855
"12069",0.0037
"12070",0.0244
"12075",-0.1521
"12091",0.1038
"12095",0.177
"12111",0.336
"12121",0.2271
"12122",-0.0224
"12123",0.1085
"12125",0.0847
"12140",0.883
"12142",-0.1352
"12144",-0.3968
"12151",-0.1636
"12153",0.154
"12156",0.0406
"12159",0.5894
"12160",0.467
"12161",0.3352
"12162",0.088
"12166",0.0419
"12167",0.0213
"12168",0.0502
"12169",0.0216
"12175",-0.1502
"12176",-0.0057
"12177",-0.0143
"12180",0.5529
"12181",-0.0501
"12182",0.6631
"12183",0.0171
"12189",-0.2499
"12190",0.3275
"12192",0.2849
"12193",0.0855
"12211",0.066
"12212",-0.1098
"12215",0.1734
"12217",0.0705
"12223",-0.2694
"12224",0.3772
"12226",-0.0922
"12227",0.3796
"12228",-0.0136
"12229",-0.0999
"12234",-0.0622
"12235",0.8767
"12236",-0.1654
"12237",-0.0563
"12238",-0.0362
"12257",-0.082
"12258",0.4499
"12259",-0.1044
"12260",-0.0604
"12261",-0.0721
"12262",-0.0629
"12263",0.3889
"12265",0.1441
"12266",-0.5318
"12267",-0.0392
"12268",-0.6801
"12269",-0.2219
"12273",-0.539
"12282",0.0279
"12283",-0.0238
"12286",0.002
"12287",0.0743
"12288",0.1094
"12289",0.023
"12290",0.0055
"12291",0.0322
"12292",1.1607
"12293",-0.0833
"12294",0.0911
"12295",-0.0025
"12296",-0.0844
"12297",-0.084
"12298",0.0581
"12300",-0.098
"12301",0.0241
"12304",-0.0035
"12305",0.2043
"12306",0.2296
"12307",5e-04
"12308",0.3601
"12310",0.0145
"12315",-0.0582
"12316",0.3108
"12317",0.0938
"12319",-0.1014
"12321",0.0974
"12322",-0.1176
"12323",-0.1949
"12325",-0.1323
"12326",0.3292
"12328",-0.1698
"12330",0.1029
"12331",-0.0585
"12332",0.2447
"12333",-0.2476
"12334",-0.0986
"12335",-0.3416
"12336",0.0527
"12337",0.0869
"12338",0.6578
"12339",-0.0371
"12340",0.0659
"12343",-0.0588
"12345",0.0161
"12348",0.0549
"12349",-0.1788
"12351",0.1009
"12354",-0.2063
"12355",-1.4937
"12359",0.0987
"12361",0.185
"12362",0.2784
"12363",0.8866
"12364",0.2995
"12366",0.0918
"12367",0.3287
"12368",0.0689
"12369",0.5064
"12370",0.2993
"12371",-0.0492
"12372",0.4138
"12373",0.7271
"12374",2.4381
"12380",-0.216
"12385",0.0832
"12386",0.0216
"12387",0.107
"12388",0.089
"12389",0.1846
"12390",0.2769
"12391",0.0149
"12393",-0.1148
"12394",0.263
"12395",0.0039
"12396",-0.0667
"12398",0.0869
"12400",0.0217
"12402",0.0732
"12404",0.447
"12405",-0.0041
"12406",0.2942
"12408",0.0169
"12409",0.1465
"12411",0.0407
"12412",0.1209
"12416",0.5538
"12417",0.0834
"12418",0.1225
"12419",0.0224
"12421",0.0157
"12424",0.0314
"12426",0.4927
"12427",-0.7325
"12428",0.7677
"12442",-0.382
"12443",0.2324
"12444",0.1918
"12445",-0.1893
"12447",-0.0767
"12448",0.1052
"12449",0.2009
"12450",-0.0982
"12452",-0.0794
"12453",0.0917
"12454",0.0933
"12455",-0.0545
"12457",-0.0685
"12460",-0.0295
"12461",-0.0333
"12462",-0.0256
"12464",-0.0379
"12465",-0.0531
"12466",0.0092
"12467",1.6597
"12468",-0.0273
"12469",0.0348
"12475",-0.4261
"12476",0.0384
"12479",0.4324
"12483",-0.2929
"12484",0.7625
"12488",0.1413
"12489",-0.4902
"12490",-0.1015
"12491",0.7091
"12492",-0.0476
"12493",0.2372
"12494",0.1922
"12495",0.0147
"12496",-0.2831
"12497",-0.0223
"12499",-0.0567
"12503",0.512
"12505",0.6201
"12506",-0.4589
"12508",0.0978
"12509",0.1398
"12511",-0.3532
"12512",0.2151
"12514",0.4014
"12516",0.1522
"12517",0.5924
"12518",-0.0947
"12519",-0.0676
"12520",0.1571
"12521",0.1913
"12522",-0.34
"12523",-0.0938
"12524",0.472
"12527",0.2079
"12530",-0.196
"12531",-0.1198
"12532",0.7579
"12534",0.7993
"12537",-0.0308
"12539",-0.0644
"12540",0.0983
"12544",-0.4326
"12545",-0.2135
"12549",0.0738
"12550",0.6831
"12552",0.0659
"12554",0.2232
"12555",-0.4812
"12558",0.1221
"12560",0.6114
"12561",0.2478
"12562",0.2313
"12563",0.2046
"12564",-0.0796
"12565",-0.0483
"12566",0.1218
"12567",0.1063
"12568",0.0582
"12569",-8e-04
"12570",0.075
"12571",0.4161
"12572",0.0353
"12575",0.6446
"12576",0.0871
"12577",0.3943
"12579",0.0754
"12580",0.0442
"12581",-0.1487
"12583",0.0027
"12585",0.039
"12587",0.6474
"12589",0.0808
"12593",-0.2713
"12606",-0.3172
"12607",3e-04
"12608",-0.3289
"12609",-0.1078
"12611",-0.1181
"12614",0.1438
"12615",0.2241
"12616",-0.0844
"12617",-0.128
"12626",-0.0393
"12628",0.3399
"12631",0.0944
"12632",0.0641
"12633",-0.0426
"12638",-0.1225
"12642",0.0876
"12648",-0.0972
"12649",0.2775
"12651",-0.0901
"12652",0.0547
"12653",-0.1216
"12654",-0.199
"12655",0.9631
"12659",-0.1569
"12660",-0.0945
"12661",0.2062
"12662",-0.0147
"12663",0.3892
"12667",-0.3816
"12669",0.0222
"12671",0.078
"12672",0.1229
"12675",-0.1159
"12683",-0.014
"12684",-0.2367
"12695",-0.1359
"12696",-0.3322
"12700",0.4018
"12702",0.1228
"12703",0.0069
"12704",0.1632
"12705",-0.1333
"12709",-0.0379
"12716",-0.0086
"12721",0.0043
"12722",0.4035
"12723",-1.0341
"12724",-0.02
"12725",-0.0182
"12727",0.002
"12728",0.2477
"12729",0.0095
"12737",0.8103
"12738",0.6823
"12741",0.3323
"12745",0.1461
"12747",-0.0163
"12748",-0.0198
"12750",0.0562
"12751",0.0015
"12752",-0.1201
"12753",0.0238
"12757",-0.0447
"12759",0.1254
"12763",0.2366
"12764",0.0795
"12767",-0.0303
"12768",0.8834
"12769",1.0485
"12772",0.2335
"12774",-0.0205
"12777",-0.6873
"12778",-0.0272
"12785",-0.0842
"12793",0.025
"12794",-0.0792
"12795",0.0365
"12796",0.7438
"12797",1.5537
"12798",0.1947
"12799",0.4447
"12801",0.1915
"12802",-0.9049
"12803",0.0284
"12804",-0.0912
"12805",0.0952
"12807",-0.0744
"12808",0.2804
"12810",0.4965
"12812",-0.1089
"12813",0.0017
"12814",0.4568
"12815",-0.1169
"12816",-0.2919
"12817",-0.0801
"12818",0.1757
"12819",0.5516
"12822",0.5053
"12823",0.1065
"12824",-0.598
"12825",1.9156
"12826",0.6274
"12827",0.4399
"12828",0.1001
"12829",-0.1437
"12830",1.2821
"12831",0.4764
"12832",0.6966
"12833",0.644
"12834",0.7186
"12835",0.6504
"12836",-0.0042
"12837",0.5935
"12839",1.4232
"12840",0.2895
"12841",0.3628
"12842",1.1743
"12843",0.7725
"12845",0.6397
"12846",0.0953
"12847",-0.0381
"12848",-0.0222
"12850",-0.0107
"12854",-0.3184
"12856",-0.0036
"12857",-0.0107
"12858",-0.0699
"12859",-0.0028
"12861",-0.0697
"12862",-0.0941
"12864",0.0323
"12865",0.7447
"12866",0.0538
"12867",0.0931
"12868",-0.011
"12869",0.3327
"12870",0.324
"12874",0.0105
"12877",-0.2165
"12879",-0.4007
"12889",0.0545
"12890",-0.1441
"12891",0.0166
"12892",0.0153
"12894",-0.0481
"12895",1.1982
"12896",0.0889
"12902",0.8643
"12903",-0.7952
"12904",0.3374
"12905",-0.0781
"12908",-0.0111
"12909",-0.1552
"12912",-0.0348
"12913",0.0185
"12914",0.0479
"12915",0.1429
"12916",0.1041
"12918",0.4397
"12919",-0.1969
"12921",-0.0359
"12922",0.8075
"12925",-0.0352
"12927",-0.0743
"12928",-8e-04
"12929",-0.1048
"12931",-0.1858
"12933",0.1136
"12934",0.0769
"12936",-0.1569
"12937",0.6029
"12939",0.0123
"12941",0.2261
"12942",-0.4866
"12943",0.017
"12946",0.1991
"12950",0.2456
