"","GSE184615_enrichment"
"11302",0.4332
"11303",-2.1042
"11304",0.46
"11305",1.5879
"11306",-0.6783
"11307",-2.6851
"11308",-1.3305
"11350",0.1012
"11352",-1.3437
"11363",-0.8546
"11364",0.4172
"11370",0.6917
"11409",1.1214
"11416",0.2463
"11418",-1.4027
"11419",0.6298
"11421",0.1
"11423",0.6892
"11428",2.0321
"11429",0.1934
"11430",1.01
"11431",0.3902
"11432",-0.7457
"11433",0.4479
"11434",-0.6027
"11435",1.6079
"11438",2.1202
"11440",0.3852
"11441",-0.1104
"11443",-1.9673
"11444",-2.0606
"11459",-0.6496
"11465",0.5354
"11472",1.3443
"11474",-0.8509
"11475",3.3924
"11477",-0.2974
"11479",-1.7233
"11480",3.9003
"11481",1.7042
"11482",-0.3351
"11484",-0.9567
"11486",-0.1508
"11487",-1.3328
"11488",1.2733
"11489",3.4023
"11490",0.7842
"11491",1.9933
"11492",4.5509
"11496",0.412
"11498",-0.4107
"11499",0.9939
"11501",-1.4144
"11502",1.2599
"11504",-1.2516
"11512",1.6726
"11513",1.1602
"11514",2.563
"11515",-2.3358
"11516",1.9023
"11517",-1.6186
"11518",0.6347
"11519",-2.1471
"11520",-0.9071
"11522",0.1966
"11532",-0.4747
"11534",0.351
"11535",0.7042
"11536",-0.5453
"11538",0.5157
"11539",1.412
"11540",0.2755
"11541",0.2295
"11542",-0.3981
"11544",-1.0481
"11545",-0.4236
"11546",-0.4607
"11548",-0.0718
"11549",0.7132
"11550",-1.7493
"11551",2.6298
"11552",-1.7856
"11553",0.1146
"11554",0.0677
"11555",0.5099
"11556",-0.8948
"11564",0.1013
"11565",0.8641
"11566",0.0569
"11567",1.1295
"11568",1.5357
"11569",-1.9612
"11593",-0.5988
"11595",-1.7352
"11600",2.7164
"11601",0.6238
"11603",1.4998
"11605",-1.6166
"11606",3.7995
"11607",0.5887
"11609",1.7852
"11610",1.0042
"11615",0.8284
"11622",1.5215
"11624",-1.4678
"11629",0.0096
"11630",0.1686
"11632",-0.269
"11636",0.5981
"11637",1.076
"11639",1.1044
"11640",0.4235
"11647",-1.6912
"11651",-3.1878
"11652",1.5221
"11655",-0.6343
"11656",-0.2901
"11658",0.91
"11666",0.3845
"11668",0.1745
"11669",-1.633
"11670",-0.9513
"11671",1.4739
"11676",0.6731
"11677",-1.4011
"11682",-1.3543
"11684",-1.6085
"11686",-3.3182
"11687",0.8789
"11688",-1.8746
"11689",0.3243
"11690",-1.4583
"11692",0.8062
"11694",0.6497
"11695",1.5624
"11702",-1.9117
"11717",-1.085
"11722",-0.3272
"11727",0.4789
"11732",-0.829
"11733",-0.8825
"11735",0.0041
"11736",1.3755
"11737",-0.0824
"11739",0.4885
"11740",-0.026
"11744",-3.8424
"11745",-0.3514
"11746",-0.2794
"11747",0.0458
"11749",-1.9363
"11750",-0.6205
"11752",4.0185
"11754",1.3491
"11757",0.1712
"11758",-0.749
"11761",-2.1609
"11764",-0.0152
"11765",1.0986
"11766",-0.6809
"11767",0.5838
"11768",1.7663
"11769",0.9128
"11771",0.3785
"11772",0.2835
"11773",0.9832
"11774",-2.4473
"11775",0.8742
"11776",-0.9139
"11777",1.9131
"11778",0.4056
"11781",2.3812
"11782",0.5624
"11783",-0.0243
"11784",0.8223
"11785",0.1173
"11787",0.2807
"11789",5.2466
"11790",-1.7419
"11792",0.3568
"11793",-0.0662
"11796",-0.0901
"11797",1.2144
"11798",1.1734
"11799",-0.8026
"11800",-1.4743
"11803",-0.2979
"11804",0.075
"11807",0.3016
"11810",-0.5964
"11812",1.0195
"11815",-0.6295
"11816",-0.2604
"11818",-1.9805
"11819",3.3188
"11820",-0.9238
"11821",1.582
"11826",0.0776
"11829",1.5317
"11834",0.6587
"11835",-1.0579
"11836",0.5367
"11837",0.8648
"11838",0.632
"11840",-1.1563
"11841",0.7908
"11842",-2.4715
"11843",0.9148
"11844",1.3636
"11845",1.0821
"11847",-0.5484
"11848",0.6777
"11852",-0.5201
"11853",1.5752
"11854",0.7543
"11855",-0.8053
"11856",2.479
"11857",1.6244
"11858",2.3448
"11861",1.658
"11863",-0.1383
"11864",1.1198
"11865",-0.3848
"11867",3.948
"11876",-1.0059
"11877",1.1302
"11878",0.3866
"11881",0.7345
"11883",-0.0084
"11886",-0.1887
"11889",-0.1763
"11891",-1.0372
"11898",-0.9376
"11899",1.5056
"11906",0.0924
"11907",0.0733
"11908",0.2672
"11909",-0.2442
"11910",-0.428
"11911",-0.7283
"11920",0.1961
"11922",-0.7808
"11923",-0.7595
"11924",1.9861
"11927",0.7321
"11928",-0.9351
"11931",0.06
"11932",1.2023
"11933",-1.1882
"11936",0.9723
"11941",-0.5039
"11944",-0.1929
"11946",-0.4333
"11949",-0.2656
"11950",1.1903
"11951",0.5531
"11957",0.1432
"11958",0.2453
"11964",0.7909
"11966",0.4814
"11972",0.7466
"11973",0.0264
"11974",0.2376
"11975",0.7726
"11977",0.069
"11979",0.1361
"11980",-0.9172
"11981",0.6104
"11982",-0.6311
"11983",1.5837
"11984",1.2717
"11987",0.8524
"11988",-1.2436
"11989",2.0364
"11990",0.5319
"11991",-1.3489
"11992",0.5267
"11993",-0.8531
"11994",1.726
"12005",0.0545
"12006",-0.6429
"12009",-0.0824
"12010",-1.8032
"12012",-1.2336
"12013",-0.6924
"12014",0.995
"12015",0.7778
"12017",1.6463
"12018",0.4427
"12021",1.7073
"12023",1.0616
"12028",-0.4043
"12029",-0.9734
"12032",0.4323
"12033",-1.1824
"12034",0.4109
"12035",-1.4525
"12036",-0.8506
"12038",1.8609
"12039",-0.3183
