"","GSE197754_enriched environment (EE)"
"11302",-0.1554
"11303",-0.0024
"11304",0.3024
"11305",-0.1134
"11306",0.0409
"11307",-0.0447
"11308",0.1254
"11350",-0.0733
"11352",0.0214
"11363",-0.0196
"11364",-0.1188
"11370",-0.0175
"11409",-0.0158
"11416",0.1393
"11418",0.0415
"11419",-0.0865
"11421",0.279
"11423",0.2005
"11426",-0.0529
"11428",0.0277
"11429",-0.049
"11430",0.0229
"11431",0.1916
"11432",0.0365
"11433",-0.3063
"11434",0.2748
"11435",0.1166
"11438",-0.0427
"11440",-0.9515
"11441",0.2095
"11443",0.141
"11444",-0.1135
"11448",0.8549
"11459",0.0054
"11465",0.0655
"11468",-0.578
"11472",-0.0478
"11474",0.7594
"11475",-0.097
"11477",0.1189
"11479",-0.0384
"11480",0.0869
"11481",-0.0825
"11482",-0.1582
"11484",0.0714
"11486",0.1746
"11487",-0.064
"11488",-0.1825
"11489",0.1225
"11490",-0.0778
"11491",0.0822
"11492",0.0739
"11496",-0.0248
"11497",-1.0989
"11498",-0.0428
"11499",-0.1118
"11501",-0.3808
"11502",0.0545
"11504",0.0339
"11512",-0.174
"11513",0.0361
"11514",-0.0489
"11515",0.0171
"11516",0.2521
"11517",-0.1284
"11518",-0.0776
"11519",-0.0305
"11520",-0.0821
"11522",-0.5565
"11532",-0.0366
"11534",-0.0352
"11535",-0.2731
"11536",-0.4203
"11538",0.1653
"11539",-0.0348
"11540",0.0161
"11541",-0.0584
"11542",-0.6935
"11544",-0.0131
"11545",0.1206
"11546",-0.0425
"11548",-0.4332
"11549",0.0413
"11550",-0.1334
"11551",0.0643
"11552",0.2264
"11553",-0.0891
"11554",-0.0209
"11555",0.565
"11556",0.2405
"11564",-0.0796
"11565",0.1283
"11566",0.1189
"11567",-0.1777
"11568",-0.0986
"11569",0.0296
"11593",0.006
"11595",-0.0583
"11596",-0.7449
"11600",0.0986
"11601",-0.1955
"11602",0.2083
"11603",-0.1346
"11605",0.0695
"11606",-0.0692
"11607",0.2223
"11608",-1.3543
"11609",-0.1184
"11610",-0.1108
"11615",0.5172
"11622",0.1219
"11624",0.0687
"11629",0.0086
"11630",0.173
"11632",-0.0985
"11634",0.6653
"11636",-0.0531
"11637",0.0734
"11639",-0.041
"11640",-0.0819
"11642",0.2945
"11647",0.0995
"11651",-0.0933
"11652",-0.0936
"11655",-0.0062
"11656",0.2031
"11658",-0.0028
"11666",0.1196
"11668",0.0678
"11669",-0.1547
"11670",-0.7535
"11671",-0.0342
"11676",-0.0291
"11677",-0.0124
"11682",0.1205
"11685",0.2987
"11686",0.0719
"11687",-0.456
"11688",-0.0786
"11689",-0.3033
"11690",-0.0582
"11692",-0.0348
"11694",0.0935
"11695",-0.0667
"11702",-0.0499
"11705",-0.0324
"11717",-0.0483
"11720",0.0335
"11722",0.0024
"11727",0.0658
"11732",-0.0776
"11733",-0.0577
"11735",-0.0164
"11736",0.0038
"11737",-0.0902
"11739",0.0441
"11740",0.1474
"11744",0.1109
"11745",0.006
"11746",0.0726
"11747",-0.0595
"11749",0.043
"11750",-0.0315
"11752",-0.1782
"11754",0.0164
"11757",0.0825
"11758",-0.0592
"11761",-0.1495
"11764",-0.0953
"11765",0.0348
"11766",-0.2252
"11767",-0.0716
"11768",-0.0101
"11769",-0.0137
"11770",-0.4805
"11771",-0.0448
"11772",-0.0044
"11773",0.0178
"11774",0.0124
"11775",-0.1112
"11776",-0.0892
"11777",0.0768
"11778",-0.1052
"11781",-0.1291
"11782",-0.0647
"11783",-0.1336
"11784",-0.0955
"11785",-0.1086
"11787",0.0055
"11789",0.0594
"11790",-0.1953
"11792",0.0341
"11793",0.0357
"11796",0.0159
"11797",-0.0401
"11798",0.0145
"11799",-0.2237
"11800",0.1227
"11803",-0.0295
"11804",0.0168
"11806",-0.112
"11807",0.1911
"11810",-0.0123
"11811",-0.0379
"11812",-0.1566
"11814",-1.456
"11815",0.0602
"11816",-0.0408
"11818",0.3801
"11819",-0.0478
"11821",0.0792
"11826",0.2183
"11829",-0.0379
"11830",-0.1988
"11834",0.0152
"11835",-0.0388
"11836",0.0119
"11837",-0.0233
"11838",0.5799
"11840",-0.0188
"11841",0.0988
"11843",0.1323
"11844",-0.1072
"11845",0.0749
"11846",-1.3651
"11847",0.2104
"11848",0.0192
"11852",-0.0871
"11853",0.035
"11854",0.1909
"11855",0.1465
"11856",0.1812
"11857",0.2685
"11858",0.0102
"11861",0.104
"11863",-0.1504
"11864",-0.0148
"11865",-0.178
"11867",-0.1265
"11870",0.1968
"11876",0.7082
"11877",-0.1489
"11878",-0.1803
"11881",0.0571
"11883",-0.1838
"11886",0.0484
"11889",-1.009
"11891",0.1052
"11898",-0.0205
"11899",0.0013
"11906",0.1916
"11907",0.0527
"11908",0.052
"11909",0.0278
"11910",0.9809
"11911",0.0147
"11920",0.0647
"11922",0.1694
"11923",0.3815
"11924",-0.0427
"11927",-0.1316
"11928",-0.0122
"11931",0.1692
"11932",-0.0083
"11933",0.0575
"11936",-0.0564
"11937",-0.1586
"11938",0.0056
"11941",-0.0544
"11944",0.8495
"11946",-0.045
"11949",0.0298
"11950",0.0194
"11951",0.1397
"11957",0.0661
"11958",-0.2677
"11964",0.0465
"11966",0.027
"11972",0.0589
"11973",0.0305
"11974",0.1387
"11975",-0.0043
"11977",0.1289
"11979",-0.0753
"11980",-0.0416
"11981",-0.0987
"11982",-0.0269
"11983",0.1002
"11984",-0.0085
"11987",0.007
"11988",0.0439
"11989",0.0374
"11990",0.0711
"11991",0.0202
"11992",-0.0175
"11993",-0.0755
"11994",-0.0444
"11998",0.8561
"12005",-0.0035
"12006",-0.1934
"12007",-1.5193
"12009",-0.0775
"12010",0.1065
"12013",-0.0779
"12014",-0.0084
"12015",-0.0706
"12017",-0.0713
"12018",0.1836
"12021",0.2185
"12023",-0.038
"12028",0.0398
"12029",-0.2178
"12032",-0.1332
"12033",0.136
"12034",0.0421
"12035",-0.0073
"12036",-0.2035
"12038",-0.0141
"12039",-0.0764
"12040",0.0569
"12041",0.0238
"12042",0.1251
"12043",0.0665
"12044",-0.6754
"12045",-0.2378
"12047",-0.7121
"12048",-0.0781
"12050",-0.0796
"12051",0.0792
"12053",0.0287
"12054",-0.0621
"12055",0.0242
"12061",1.4674
"12062",-0.052
"12064",0.2575
"12068",0.1206
"12069",-2e-04
"12070",-0.0616
"12075",-0.0948
"12091",0.0207
"12095",-0.6406
"12096",1.4428
"12111",0.1335
"12116",0.0105
"12121",0.136
"12122",-0.0662
"12123",-0.1939
"12125",-0.1459
"12140",-0.0198
"12142",-0.0897
"12144",0.0344
"12151",0.1079
"12153",-0.2025
"12155",1.2942
"12156",0.2828
"12159",0.0757
"12160",0.023
"12161",0.1275
"12162",0.171
"12164",-0.9054
"12166",0.028
"12167",0.0239
"12168",0.172
"12169",0.1425
"12175",0.1806
"12176",0.0833
"12177",0.013
"12180",0.2642
"12181",0.0123
"12182",0.7066
"12183",-0.0604
"12189",-0.102
"12190",-0.0011
"12192",0.0625
"12193",0.0206
"12209",2.5073
"12211",0.0561
"12212",0.1193
"12215",0.0548
"12217",-0.123
"12223",-0.0342
"12224",-0.0812
"12226",-0.0342
"12227",-0.0583
"12228",0.1113
"12229",0.0631
"12234",-0.0435
"12235",0.4198
"12236",0.0846
"12237",-0.0837
"12238",0.0448
"12257",0.0788
"12258",-0.072
"12259",-0.0619
"12260",0.0247
"12261",0.1043
"12262",-0.0929
"12263",-0.0107
"12265",-0.11
"12266",-0.0321
"12267",0.2397
"12268",0.0062
"12269",0.2618
"12270",0.3332
"12273",0.4861
"12282",-0.1261
"12283",0.0512
"12286",-0.1022
"12287",-0.0839
"12288",-0.0577
"12289",-0.011
"12290",0.0309
"12291",-0.0539
"12292",0.3744
"12293",0.0524
"12294",0.0585
"12295",-0.1017
"12296",0.0388
"12297",-0.1239
"12298",0.0431
"12300",-0.0957
"12301",0.0704
"12304",-0.1851
