"","GSE197754_enriched environment (EE)"
"11302",0.0548825710754017
"11303",0.0606060606060606
"11304",0.247220405493787
"11305",0.043613707165109
"11306",0.0542296473084063
"11307",0.0504343901613449
"11308",0.0404947201860045
"11350",0.0529012702078522
"11352",0.0456679470763978
"11363",0.0575286175520986
"11364",0.0615193413080628
"11370",0.0545001557147306
"11409",0.159274193548387
"11416",0.0639606960833831
"11418",0.0517779164067374
"11419",0.073032759202972
"11421",0.208660533991474
"11423",0.0681416530723219
"11426",0.0543176917548003
"11428",0.0584634867032503
"11429",0.0336169045005488
"11430",0.038313535218337
"11431",0.0487593841455656
"11432",0.0418625989218947
"11433",0.437321530553969
"11434",0.298144732559401
"11435",0.203525920754058
"11438",0.0847726821520746
"11440",0.672818554659878
"11441",0.100609902511646
"11443",0.323765786452354
"11444",0.0536922276361228
"11448",0.692731545255652
"11459",0.143236074270557
"11465",0.0341519370144429
"11468",0.948007216663933
"11472",0.0724352174571905
"11474",0.251132643275241
"11475",0.186251920122888
"11477",0.0551254114701655
"11479",0.0491299897645855
"11480",0.0532540752543204
"11481",0.0842868818961994
"11482",0.170787002051171
"11484",0.0795100222717149
"11486",0.356544823361242
"11487",0.0466472303206997
"11488",0.0459941026739585
"11489",0.108927618708874
"11490",0.0683535406782639
"11491",0.0899540380827314
"11492",0.0761227853316852
"11496",0.0380776907723016
"11497",0.824566669167855
"11498",0.326717557251908
"11499",0.351351351351351
"11501",0.14809053433927
"11502",0.0585203479007839
"11504",0.0952514751334644
"11512",0.0731891982838395
"11513",0.163053297199639
"11514",0.076049766718507
"11515",0.0443579766536965
"11516",0.122849763656742
"11517",0.0492086000076649
"11518",0.0365124923540206
"11519",0.0447936554560141
"11520",0.14655480185648
"11522",0.508451347647328
"11532",0.0525484565685571
"11534",0.054421768707483
"11535",0.244035385577696
"11536",0.255144782371153
"11538",0.114696086594505
"11539",0.0368995864701516
"11540",0.259677419354839
"11541",0.155608846256328
"11542",0.456370097394051
"11544",0.0572802798425886
"11545",0.0466177039041361
"11546",0.0699013157894737
"11548",0.186917500862962
"11549",0.0724434309770216
"11550",0.0664309546337334
"11551",0.105791378743008
"11552",0.506034868126956
"11553",0.0786754966887417
"11554",0.0866500829187396
"11555",0.277832415420928
"11556",0.318458686440678
"11564",0.0732155997056659
"11565",0.078735808530224
"11566",0.0445101635907611
"11567",0.383967156439067
"11568",0.0695002467047297
"11569",0.047718845719813
"11593",0.112359550561798
"11595",0.116974317817014
"11596",0.385140375368388
"11600",0.100193069809979
"11601",0.271565495207668
"11602",0.964351851851852
"11603",0.0634755953784485
"11605",0.086744882675986
"11606",0.0782628364623388
"11607",0.418722923337728
"11608",0.968671768829125
"11609",0.366450015475085
"11610",0.0832019223548847
"11615",0.516889866080352
"11622",0.120992555831266
"11624",0.24249911754324
"11629",0.170634920634921
"11630",0.216547753160596
"11632",0.0502653602776077
"11634",0.884825109722038
"11636",0.0436318816762531
"11637",0.0720243351977235
"11639",0.0464378751840526
"11640",0.0660643704121965
"11642",0.439946220495966
"11647",0.137317140491306
"11651",0.0511092851273624
"11652",0.0573143102075807
"11655",0.0508196721311475
"11656",0.176700887419523
"11658",0.0419790104947526
"11666",0.0946801773274224
"11668",0.0471553762693003
"11669",0.0468418821534549
"11670",0.296128905482413
"11671",0.0526639975361873
"11676",0.0331850838179952
"11677",0.0603994154895275
"11682",0.140919190737925
"11685",1.09614678899083
"11686",0.123581986937092
"11687",0.143898513679826
"11688",0.11978055470893
"11689",0.326867119301649
"11690",0.175459752788664
