"","GSE197754_enriched environment (EE)"
"11302",0.00301209660784652
"11303",0.00367309458218549
"11304",0.0611179288925124
"11305",0.00190215545268388
"11306",0.00294085464719413
"11307",0.00254362771094676
"11308",0.0016398223629428
"11350",0.00279854438960419
"11352",0.00208556139017267
"11363",0.00330954183745563
"11364",0.00378462935497792
"11370",0.00297026697292988
"11409",0.0253682687304891
"11416",0.00409097064347089
"11418",0.00268095262742308
"11419",0.00533378391679929
"11421",0.0435392184456071
"11423",0.00464328488342868
"11426",0.0029504116375695
"11428",0.00341797927750113
"11429",0.00113009626819902
"11430",0.00146792698092675
"11431",0.00237747754225483
"11432",0.00175247718849542
"11433",0.191250121086066
"11434",0.0888902815529168
"11435",0.0414228004187872
"11438",0.00718640763925668
"11440",0.452684807494608
"11441",0.0101223524834029
"11443",0.104824284477111
"11444",0.00288285530852923
"11448",0.479876993792283
"11459",0.0205165729724405
"11465",0.00116635480183847
"11468",0.898717682846897
"11472",0.00524686072807047
"11474",0.0630676045184092
"11475",0.0346897777494626
"11477",0.00303881098975506
"11479",0.00241375589426827
"11480",0.00283599653119282
"11481",0.00710427845978387
"11482",0.0291682000696268
"11484",0.0063218436416486
"11486",0.127124211065699
"11487",0.00217596409659241
"11488",0.00211545748078264
"11489",0.0118652261175859
"11490",0.00467220652325508
"11491",0.0080917289673895
"11492",0.00579467844665383
"11496",0.00144991053455102
"11497",0.67991019190257
"11498",0.106744362216654
"11499",0.123447772096421
"11501",0.0219308063608906
"11502",0.00342463111842878
"11504",0.009072843515101
"11512",0.00535665874543117
"11513",0.0265863777276737
"11514",0.00578356701793933
"11515",0.00196763009280988
"11516",0.0150920644305173
"11517",0.00242148631471436
"11518",0.00133316209790241
"11519",0.0020064715691121
"11520",0.0214783099471921
"11522",0.258522772924384
"11532",0.00276134028773753
"11534",0.00296172890925077
"11535",0.0595532694140549
"11536",0.0650988599712229
"11538",0.0131551922800941
"11539",0.0013615794816682
"11540",0.0674323621227888
"11541",0.0242141130332256
"11542",0.208273665795456
"11544",0.00328103045884526
"11545",0.0021732103172937
"11546",0.00488619394909972
"11548",0.0349381521288553
"11549",0.00524805069172249
"11550",0.00441307173354914
"11551",0.0111918158163465
"11552",0.256071287760265
"11553",0.00618983377922021
"11554",0.00750823686982445
"11555",0.0771908510586273
"11556",0.101415934969522
"11564",0.00536052404026031
"11565",0.00619932754490809
"11566",0.00198115466287631
"11567",0.147430777223903
"11568",0.00483028429201829
"11569",0.00227708823683132
"11593",0.0126246686024492
"11595",0.0136829910287559
"11596",0.148333108738903
"11600",0.0100386512379473
"11601",0.0737478181873858
"11602",0.929974494170096
"11603",0.00402915120864851
"11605",0.00752467467047058
"11606",0.00612507157113079
"11607",0.175328886528493
"11608",0.938324995726546
"11609",0.13428561384169
"11610",0.00692255988354827
"11615",0.267175133656564
"11622",0.0146391985665819
"11624",0.0588058220092503
"11629",0.0291162761400857
"11630",0.0468929293989023
"11632",0.0025266064438377
"11634",0.782915474794616
"11636",0.00190374109861055
"11637",0.00518750486067403
"11639",0.00215647625160964
"11640",0.0043645010379599
"11642",0.193552676928686
"11647",0.0188559970727089
"11651",0.00261215902623002
"11652",0.00328493015457079
"11655",0.00258263907551733
"11656",0.031223203614847
"11658",0.00176223732211855
"11666",0.00896433597875215
"11668",0.00222362951109929
"11669",0.00219416192367815
"11670",0.0876923286622119
"11671",0.00277349663649154
"11676",0.00110124978800737
"11677",0.00364808939147658
"11682",0.0198582183182318
"11685",1.2015377830149
"11686",0.0152725074953195
"11687",0.020706782239263
"11688",0.014347381286379
"11689",0.106842113680558
"11690",0.0307861248486592
"11692",0.00851167670697409
"11694",0.546313799621928
"11695",0.0861098427977468
"11702",0.00228936878136038
"11705",0.231771425543518
"11717",0.00499802640419242
"11720",0.657944878612175
"11722",0.00761652892561983
"11727",0.0466957325934734
"11732",0.00159227550497539
"11733",0.00255102807054194
"11735",0.00197745164007322
"11736",0.00234928154935444
"11737",0.00148093131650337
"11739",0.00125550251100502
"11740",0.00153509160420668
"11744",0.00472650922539964
"11745",0.0116873630387144
"11746",0.0184630265000106
"11747",0.00275933309882737
"11749",0.00234747073993255
"11750",0.00217519900029191
"11752",0.101405144387316
"11754",0.239661394519938
"11757",0.00343225239810624
"11758",0.00288798916107501
"11761",0.0158601677095692
"11764",0.0019993859291063
"11765",0.00166012597266838
"11766",0.0346047274626203
"11767",0.00457296817904353
"11768",0.192835538752363
"11769",0.00199013025179299
"11770",0.896426508772356
"11771",0.00173578821882351
"11772",0.00149230606765789
"11773",0.00124534547999806
"11774",0.00205255014270803
"11775",0.00185336416717964
"11776",0.00215321490220186
"11777",0.00212124462506378
"11778",0.00276427159579878
"11781",0.00624847076241705
"11782",0.00469449176933441
"11783",0.00547603279056643
"11784",0.00198610833265003
"11785",0.00150799167463026
"11787",0.00245958755359258
"11789",0.00300548841763509
"11790",0.003136
"11792",0.00383005984828772
"11793",0.00472242781752277
"11796",0.047701440043473
"11797",0.00380711215741856
"11798",0.00211623350897988
"11799",0.0634037388393423
"11800",0.00174190316785178
"11803",0.000944675257716963
"11804",0.00119150500498381
"11806",0.311416271251914
"11807",0.140846021576905
"11810",0.042025
"11811",0.237311741265257
"11812",0.0672885490609246
"11814",0.498834028496401
"11815",0.00439950694988172
"11816",0.00209495677515596
"11818",0.148970288680387
"11819",0.00365916288761576
"11821",0.00713382630943961
"11826",0.0584299866203543
"11829",0.00237250747436231
"11830",0.506992963932973
"11834",0.00281081194191167
"11835",0.00360855128665261
"11836",0.0025729888678849
"11837",0.0023416353145296
"11838",0.0546238959925602
"11840",0.00136635322705076
"11841",0.00310454846449549
"11843",0.00213181333878364
"11844",0.00402694786087125
"11845",0.00306591884831133
"11846",0.433014116658682
"11847",0.0278306626354473
"11848",0.00194012056598849
"11852",0.00418555081064899
"11853",0.0105844298802689
"11854",0.100192035506815
"11855",0.00221613428572373
"11856",0.0349895040886914
"11857",0.00757836209951014
"11858",0.00261143529544058
"11861",0.00286851869789916
"11863",0.00399674820364048
"11864",0.00161305229127583
"11865",0.00588456400633063
"11867",0.00861874996620309
"11870",1.17959738607956
"11876",0.2758917892925
"11877",0.00498939838835699
"11878",0.00629260971097782
"11881",0.00199622968203938
"11883",0.00717681365079054
"11886",0.00281767920979119
"11889",0.129173593461857
"11891",0.0104540637751884
"11898",0.0056140404312438
"11899",0.00182868767313019
"11906",0.021097722164088
"11907",0.0022375506861679
"11908",0.00753621088012575
"11909",0.00250992151997241
"11910",0.0639850710387015
"11911",0.00215718425012915
"11920",0.00366999992986295
"11922",0.00181725051718481
"11923",0.231092454987684
"11924",0.0797539437585734
"11927",0.0097891096155527
"11928",0.00177101904154839
"11931",0.000864060310549136
"11932",0.00204813001478197
"11933",0.00188579342959739
"11936",0.0246127657598929
"11937",0.348913510120713
"11938",0.00192608170124114
"11941",0.00177450094619343
"11944",0.142244580582898
"11946",0.00147777388667143
"11949",0.00160559854225451
"11950",0.00281265236196734
"11951",0.00562963331851326
"11957",0.00258572915013121
"11958",0.0094308152857933
"11964",0.0011381995078209
"11966",0.00208997284354079
"11972",0.00208829641150002
"11973",0.00155763412012568
"11974",0.00874487263463702
"11975",0.0012670771018815
"11977",0.010623533360312
"11979",0.0315695250125775
"11980",0.00143778593594347
"11981",0.00197450835488052
"11982",0.0197524373559397
"11983",0.00425940506725232
"11984",0.00147528193199246
"11987",0.00310116964727043
"11988",0.00314263970026626
"11989",0.0297046019240162
"11990",0.00154408082405322
"11991",0.00157618987579605
"11992",0.00266173251713243
"11993",0.00356215532190786
"11994",0.00786654895467828
"11998",0.199021064416856
"12005",0.00409412818464685
"12006",0.005755340829934
"12007",0.906194248936878
"12009",0.00661190288269719
"12010",0.00289021575741885
"12013",0.00690155706599875
"12014",0.00923710130963664
"12015",0.00583296712185489
"12017",0.00224353545129493
"12018",0.0071067245664243
"12021",0.116594660523927
"12023",0.0456776423756929
"12028",0.00680693409679078
"12029",0.0476653591715546
"12032",0.00251982433474438
"12033",0.00389836329527064
"12034",0.00307180950257626
"12035",0.00281454924959438
"12036",0.0105718127581006
"12038",0.0109248209007468
"12039",0.00574012094518697
"12040",0.00459063530305614
"12041",0.00403447034827399
"12042",0.00993952428920951
"12043",0.00839940925595242
"12044",0.980738813735692
"12045",0.0767976439439076
"12047",0.77613418766197
"12048",0.00252126142094913
"12050",0.00200002272064396
"12051",0.387682449270203
"12053",0.00460780228937327
"12054",0.00320048555897505
"12055",0.00738525390625
"12061",0.44957683707005
"12062",0.0900346253723834
"12064",0.00254098252101059
"12068",0.00579235688752253
"12069",0.0011490950876185
"12070",0.00214321818769512
"12075",0.0701214069473487
"12091",0.00583447937800411
"12095",0.346733589155818
"12096",0.993791191577773
"12111",0.00959195418664494
"12116",0.123320768224069
"12121",0.00275896772506572
"12122",0.0115906286771657
"12123",0.00322838146524364
"12125",0.020764454199055
"12140",0.0151244164962771
"12142",0.144955371684043
"12144",0.0171734784580499
"12151",0.00294555026834999
"12153",0.00363567632906026
"12155",1.02310971964338
"12156",0.0211146493643769
"12159",0.0209582238835223
"12160",0.0413552320622658
"12161",0.0107276417962453
"12162",0.0143475960963626
"12164",0.497998079083209
"12166",0.002231000526334
"12167",0.00398927106007715
"12168",0.00223884572742595
"12169",0.0899621172265587
"12175",0.00416203353754516
"12176",0.00204463808896013
"12177",0.00186284521056985
"12180",0.0372333270944972
"12181",0.00446377860083009
"12182",0.546529002938459
"12183",0.00188546995913444
"12189",0.0688961178454719
"12190",0.0149382716049383
"12192",0.00794241099858772
"12193",0.00513403402646503
"12209",0.828926968403116
"12211",0.00267489317226083
"12212",0.00280088963520031
"12215",0.00280716582208682
"12217",0.00255768683107303
"12223",0.110679192720556
"12224",0.0328809139057286
"12226",0.00382059384487972
"12227",0.0151855740330522
"12228",0.00430765652182374
"12229",0.0597699247969057
"12234",0.0021041999831664
"12235",0.16572920986253
"12236",0.0348928211758272
"12237",0.0024967176919959
"12238",0.00329972834422159
"12257",0.0577523421337797
"12258",0.033225444640282
"12259",0.00381632941701427
"12260",0.00644794381097164
"12261",0.00286528480452746
"12262",0.00493894537443127
"12263",0.106419170136823
"12265",0.144573436076855
"12266",0.0641884420811455
"12267",0.0328308430659418
"12268",0.0100323362763956
"12269",0.112683789520591
"12270",0.928990400598317
"12273",0.187667088968137
"12282",0.00463154843942224
"12283",0.00163920612058995
"12286",0.00178836560003798
"12287",0.00241804314907916
"12288",0.00265124822061713
"12289",0.00329605432333367
"12290",0.00149263685013526
"12291",0.00517585371005456
"12292",0.110500313944637
"12293",0.00180842359622383
"12294",0.00211779522012768
"12295",0.00251953359042074
"12296",0.00230077304317567
"12297",0.00181982554343745
"12298",0.00263643222018473
"12300",0.00402896974281112
"12301",0.0024489488231481
"12304",0.00348274962199365
"12305",0.00258689194631197
"12306",0.0193354726132459
"12307",0.00245212726944879
"12308",0.00715269588537321
"12310",0.0992166447382308
"12311",0.529629487584971
"12315",0.00115916471374111
"12316",0.0812688085826744
"12317",0.00554363767219138
"12319",0.0115736339016839
"12321",0.00220063954484868
"12323",0.00195900335091182
"12325",0.0025893260003464
"12326",0.00368667637521384
"12328",0.0030828130694878
"12330",0.00189886088528208
"12331",0.0014841963717585
"12332",0.0465930838924528
"12333",0.00449974982332476
"12334",0.00218870763653774
"12335",0.00898614531026289
"12336",0.00299670872566542
"12337",0.0022099302571026
"12338",0.0556501402179072
"12339",0.00237572232655339
"12340",0.00269912093072937
"12343",0.00177347655777834
"12345",0.00248522708609662
"12348",0.00253278653509334
"12349",0.00229520840277778
"12350",0.221208903394709
"12351",0.00428314373422038
"12354",0.0163494739657132
"12355",0.349366190565019
"12359",0.00242991783112362
"12361",0.00295675286509563
"12362",0.0464842804292689
"12363",0.284510109462854
"12364",0.230788532814645
"12366",0.010918552232288
"12367",0.00834388955933404
"12368",0.0248559370180992
"12369",0.0436555518578232
"12370",0.031877025639991
"12371",0.00612960828763567
"12372",0.103156611836007
"12373",0.110953674204049
"12374",0.0672633583513481
"12380",0.0107651069232172
"12385",0.00272275627533271
"12386",0.00195030842680275
"12387",0.00157463022579456
"12388",0.00271875728199899
"12389",0.0115227248709026
"12390",0.00822785140480608
"12391",0.243749646273531
"12393",0.013923798205092
"12394",0.08414811880371
"12395",0.00644375730422235
"12396",0.0031491200769579
"12398",0.00480093380654371
"12399",0.870081190849765
"12400",0.00418836389940353
"12402",0.00272392501706322
"12404",0.0261440160323864
"12405",0.0162012301878566
"12406",0.00709271111977551
"12408",0.00251755515259156
"12409",0.0864049557821536
"12411",0.00590982005742782
"12412",0.002773873841841
"12416",0.041883527671816
"12417",0.00188284134244797
"12418",0.00247725005101239
"12419",0.00180704596782112
"12421",0.00231865080720981
"12424",0.00363026318745168
"12425",0.410605714744876
"12426",0.0213367349174019
"12427",0.080670506752495
"12428",0.0300525116913557
"12442",0.167437367879535
"12443",0.00282437787960894
"12444",0.00405892299687825
"12445",0.00622309975116708
"12447",0.00754496680412339
"12448",0.0179387187178814
"12449",0.0253205178127628
"12450",0.00292758290816326
"12452",0.00375072273895505
"12453",0.00183873931549524
"12454",0.00397467395661702
"12455",0.00234014514265254
"12457",0.00324384911144989
"12460",0.00846189822158121
"12461",0.0014946533831704
"12462",0.00223461042346481
"12464",0.00218067160809312
"12465",0.00197888224349185
"12466",0.0019234857497456
"12467",0.54334506578767
"12468",0.00183598949267054
"12469",0.00180781411605979
"12475",0.0401087963891534
"12476",0.00716824393272248
"12477",1.08493503306748
"12479",0.103533720108669
"12483",0.493235981854956
"12484",0.00730985389417679
"12487",0.676431088902372
"12488",0.00608432528157259
"12489",0.0402295547655602
"12490",0.00612050522186393
"12491",0.0455946049528106
"12492",0.00161390820407332
"12493",0.0512464341596204
"12494",0.0114411921585435
"12495",0.00839267716799677
"12496",0.0142407183030952
"12497",0.00344721763757597
"12499",0.00327164037144068
"12503",0.368612337753304
"12504",0.335651451093162
"12505",0.0198870982425599
"12506",0.178520912607547
"12507",1.13600474186247
"12508",0.0115670550774633
"12509",0.0460509438917556
"12511",0.181745152354571
"12512",0.00340632049255901
"12514",0.0104203684316958
"12516",0.268591512844733
