"","GSE197754_enriched environment (EE)"
"11302",-2.8315
"11303",-0.0396
"11304",1.2232
"11305",-2.6001
"11306",0.7542
"11307",-0.8863
"11308",3.0967
"11350",-1.3856
"11352",0.4686
"11363",-0.3407
"11364",-1.9311
"11370",-0.3211
"11409",-0.0992
"11416",2.1779
"11418",0.8015
"11419",-1.1844
"11421",1.3371
"11423",2.9424
"11426",-0.9739
"11428",0.4738
"11429",-1.4576
"11430",0.5977
"11431",3.9295
"11432",0.8719
"11433",-0.7004
"11434",0.9217
"11435",0.5729
"11438",-0.5037
"11440",-1.4142
"11441",2.0823
"11443",0.4355
"11444",-2.1139
"11448",1.2341
"11459",0.0377
"11465",1.9179
"11468",-0.6097
"11472",-0.6599
"11474",3.0239
"11475",-0.5208
"11477",2.1569
"11479",-0.7816
"11480",1.6318
"11481",-0.9788
"11482",-0.9263
"11484",0.898
"11486",0.4897
"11487",-1.372
"11488",-3.9679
"11489",1.1246
"11490",-1.1382
"11491",0.9138
"11492",0.9708
"11496",-0.6513
"11497",-1.3327
"11498",-0.131
"11499",-0.3182
"11501",-2.5714
"11502",0.9313
"11504",0.3559
"11512",-2.3774
"11513",0.2214
"11514",-0.643
"11515",0.3855
"11516",2.0521
"11517",-2.6093
"11518",-2.1253
"11519",-0.6809
"11520",-0.5602
"11522",-1.0945
"11532",-0.6965
"11534",-0.6468
"11535",-1.1191
"11536",-1.6473
"11538",1.4412
"11539",-0.9431
"11540",0.062
"11541",-0.3753
"11542",-1.5196
"11544",-0.2287
"11545",2.587
"11546",-0.608
"11548",-2.3176
"11549",0.5701
"11550",-2.0081
"11551",0.6078
"11552",0.4474
"11553",-1.1325
"11554",-0.2412
"11555",2.0336
"11556",0.7552
"11564",-1.0872
"11565",1.6295
"11566",2.6713
"11567",-0.4628
"11568",-1.4187
"11569",0.6203
"11593",0.0534
"11595",-0.4984
"11596",-1.9341
"11600",0.9841
"11601",-0.7199
"11602",0.216
"11603",-2.1205
"11605",0.8012
"11606",-0.8842
"11607",0.5309
"11608",-1.3981
"11609",-0.3231
"11610",-1.3317
"11615",1.0006
"11622",1.0075
"11624",0.2833
"11629",0.0504
"11630",0.7989
"11632",-1.9596
"11634",0.7519
"11636",-1.217
"11637",1.0191
"11639",-0.8829
"11640",-1.2397
"11642",0.6694
"11647",0.7246
"11651",-1.8255
"11652",-1.6331
"11655",-0.122
"11656",1.1494
"11658",-0.0667
"11666",1.2632
"11668",1.4378
"11669",-3.3026
"11670",-2.5445
"11671",-0.6494
"11676",-0.8769
"11677",-0.2053
"11682",0.8551
"11685",0.2725
"11686",0.5818
"11687",-3.1689
"11688",-0.6562
"11689",-0.9279
"11690",-0.3317
"11692",-0.3772
"11694",0.1265
"11695",-0.2273
"11702",-1.0429
"11705",-0.0673
"11717",-0.6832
"11720",0.0413
"11722",0.0275
"11727",0.3045
"11732",-1.9447
"11733",-1.1424
"11735",-0.3688
"11736",0.0784
"11737",-2.3439
"11739",1.2446
"11740",3.7621
"11744",1.6131
"11745",0.0555
"11746",0.5343
"11747",-1.1327
"11749",0.8875
"11750",-0.6754
"11752",-0.5596
"11754",0.0335
"11757",1.4082
"11758",-1.1016
"11761",-1.1871
"11764",-2.1313
"11765",0.8541
"11766",-1.2106
"11767",-1.0588
"11768",-0.023
"11769",-0.3071
"11770",-0.5075
"11771",-1.0753
"11772",-0.1139
"11773",0.5044
"11774",0.2737
"11775",-2.583
"11776",-1.9223
"11777",1.6675
"11778",-2.0009
"11781",-1.6332
"11782",-0.9443
"11783",-1.8054
"11784",-2.1429
"11785",-2.7966
"11787",0.1109
"11789",1.0835
"11790",-3.4875
"11792",0.551
