"","GSE270831_social isolation"
"24152",-0.3662
"24163",0.2535
"24165",-0.2947
"24166",0.3019
"24167",0.0368
"24171",0.6157
"24172",-0.137
"24173",-0.0568
"24174",-1.4752
"24175",0.08
"24176",0.0142
"24177",-0.1055
"24179",0.0328
"24180",-1.313
"24182",1.1802
"24183",-0.2966
"24186",-0.082
"24188",0.2596
"24190",-0.0238
"24191",-0.1671
"24197",0.0016
"24203",0.032
"24205",0.2434
"24207",0.4773
"24208",0.5247
"24209",-0.7667
"24210",-0.6635
"24213",0.0991
"24216",-0.5658
"24218",0.4151
"24221",0.0979
"24223",-0.1305
"24224",-0.059
"24225",0.1203
"24230",-0.0417
"24231",-0.1658
"24232",-0.1161
"24233",0.4133
"24235",0.1361
"24236",-0.5966
"24237",1.0716
"24239",0.4029
"24241",-0.496
"24247",0.4558
"24249",0.1222
"24250",-0.1538
"24251",-0.2994
"24253",-0.1072
"24254",-1.5047
"24255",-1.3098
"24257",0.7363
"24258",-0.1694
"24260",0.3478
"24261",-0.0664
"24265",0.195
"24268",-0.315
"24271",-9e-04
"24273",-0.4892
"24278",-0.2342
"24279",0.9772
"24284",-0.3751
"24291",-0.6448
"24294",-0.7752
"24296",-0.2681
"24298",1.0839
"24299",-1.5625
"24303",-0.2168
"24307",-0.7332
"24309",-0.0795
"24310",0.0138
"24311",0.2207
"24312",-0.2006
"24314",-0.0254
"24316",0.1856
"24318",0.3316
"24323",0.213
"24326",0.1127
"24329",0.3815
"24330",1.0643
"24331",-1.0593
"24332",-0.4892
"24335",0.3745
"24336",1.502
"24337",0.2589
"24338",0.0673
"24356",0.3742
"24361",0.0725
"24362",1.6079
"24366",0.1748
"24367",-0.9388
"24373",0.0915
"24379",0.0441
"24380",0.3681
"24385",0.1304
"24387",0.1555
"24390",0.5919
"24397",0.2705
"24398",-0.1684
"24406",-0.1094
"24409",1.0601
"24412",0.231
"24413",0.3761
"24414",0.2352
"24415",-0.3124
"24416",0.3729
"24417",0.0519
"24418",0.1772
"24419",-0.394
"24421",0.3837
"24422",-0.4682
"24423",-0.1103
"24424",-0.3149
"24426",-0.0088
"24434",0.1365
"24438",-1.0917
"24440",-0.2861
"24443",-0.492
"24446",0.0137
"24448",0.0262
"24450",0.0113
"24451",-0.2426
"24459",0.4777
"24464",-0.5738
"24465",-0.1977
"24468",-0.2284
"24470",-0.3662
"24471",-0.2605
"24472",-0.5889
"24473",0.3636
"24477",-0.5219
"24479",-0.1882
"24482",0.2105
"24483",0.6337
"24484",-0.1035
"24493",-0.7336
"24494",0.8699
"24498",-1.4414
"24499",-0.4216
"24500",-0.2458
"24505",0.1687
"24506",-0.5483
"24508",-0.1295
"24516",0.0746
"24517",0.7619
"24518",0.0907
"24520",0.079
"24521",-1.8403
"24522",-0.3035
"24525",0.0593
"24528",-0.3737
"24530",-0.0757
"24536",0.6456
"24539",0.028
"24546",-0.6197
"24547",0.1565
"24548",-1.1916
"24553",0.1867
"24558",0.0015
