"","GSE270831_social isolation"
"24152",-0.9692
"24163",0.2926
"24165",-1.1575
"24166",1.9025
"24167",0.3885
"24171",13.2138
"24172",-0.2374
"24173",-0.3431
"24174",-1.8842
"24175",0.7084
"24176",0.1333
"24177",-0.1917
"24179",0.2566
"24180",-2.2897
"24182",2.3454
"24183",-1.178
"24186",-0.4393
"24188",1.3716
"24190",-0.096
"24191",-2.211
"24197",0.0041
"24203",0.033
"24205",2.737
"24207",0.9887
"24208",6.0874
"24209",-2.5121
"24210",-1.964
"24213",0.8664
"24216",-1.3498
"24218",4.2932
"24221",0.3243
"24223",-1.467
"24224",-0.3747
"24225",1.1059
"24230",-0.1778
"24231",-1.1832
"24232",-0.6173
"24233",4.1555
"24235",0.3237
"24236",-2.3256
"24237",1.8696
"24239",4.4725
"24241",-1.3953
"24247",2.4228
"24249",0.2047
"24250",-1.1401
"24251",-2.447
"24253",-1.1405
"24254",-3.0035
"24255",-2.5183
"24257",1.104
"24258",-2.0886
"24260",3.8661
"24261",-0.2042
"24265",0.2414
"24268",-2.2349
"24271",-0.0023
"24273",-0.9663
"24278",-0.628
"24279",1.7762
"24284",-0.9891
"24291",-1.6427
"24294",-1.3162
"24296",-0.4153
"24298",1.9386
"24299",-2.9023
"24303",-0.4278
"24307",-5.1579
"24309",-0.5273
"24310",0.0992
"24311",1.5592
"24312",-1.6542
"24314",-0.1431
"24316",1.2894
"24318",1.9102
"24323",1.448
"24326",0.7026
"24329",4.5589
"24330",9.116
"24331",-1.1057
"24332",-0.9663
"24335",0.986
"24336",3.4418
"24337",1.9376
"24338",0.744
"24356",3.7803
"24361",0.7113
"24362",3.9393
"24366",0.4543
"24367",-2.3389
"24373",0.1767
"24379",0.3823
"24380",2.469
"24385",0.2405
"24387",1.8393
"24390",4.5705
"24397",1.9599
"24398",-1.9645
"24406",-0.9576
"24409",19.6612
"24412",2.4372
"24413",4.5742
"24414",2.5383
"24415",-1.1358
"24416",5.8834
"24417",0.3345
"24418",2.026
"24419",-3.7529
"24421",1.9357
"24422",-0.9256
"24423",-1.3407
"24424",-1.1187
"24426",-0.0914
"24434",1.6393
"24438",-3.6909
"24440",-1.6346
"24443",-0.7519
"24446",0.094
"24448",0.2765
"24450",0.0734
"24451",-1.3226
"24459",0.9613
"24464",-2.4142
"24465",-2.2478
"24468",-3.2921
"24470",-0.9692
"24471",-2.0236
"24472",-4.0087
"24473",6.1803
"24477",-0.959
"24479",-2.3166
"24482",1.0721
"24483",2.8524
"24484",-1.0182
"24493",-2.2585
"24494",2.0575
"24498",-2.0905
"24499",-4.573
"24500",-0.804
"24505",0.2165
"24506",-1.8157
"24508",-1.4504
"24516",0.6953
"24517",12.2619
"24518",0.8983
"24520",0.8188
"24521",-4.3434
"24522",-4.2092
"24525",0.4404
"24528",-0.9896
"24530",-0.8413
"24536",3.1235
"24539",0.2213
"24546",-1.0748
"24547",1.6115
"24548",-2.8867
"24553",3.8572
"24558",0.0137
"24559",0.3055
"24561",-1.2548
"24564",1.1283
"24565",4.2539
"24566",-0.9513
"24567",-0.7608
"24571",-0.7587
"24572",-2.2065
"24575",-0.7226
"24581",0.0016
"24582",1.2436
"24583",0.1782
"24584",1.2492
"24585",0.9802
"24588",-2.3806
"24590",2.3555
"24596",0.7152
"24598",4.339
"24599",1.1641
"24600",3.228
"24602",-1.094
"24603",2.9545
"24604",-2.0708
"24610",-1.1058
"24612",-0.9256
"24613",0.9674
"24615",1.018
"24616",2.326
"24617",0.7523
"24618",-1.2914
"24624",-0.2615
"24626",3.3278
"24627",2.856
"24628",0.7526
"24629",4.5893
"24631",-1.1248
"24638",-2.8706
"24641",0.0038
"24645",-1.159
"24646",-1.0283
"24648",-1.7346
"24649",1.9387
"24650",6.4614
