"","GSE299436_exercise"
"24153",0.0685812446132746
"24157",0.00956148206850435
"24158",0.0104959796826405
"24159",0.00457806152787519
"24161",0.00782281828717992
"24162",0.00577703464644297
"24163",0.108689825721845
"24165",0.0842872008324662
"24166",0.12552047042039
"24167",0.0121276580635188
"24170",0.00273251687647586
"24171",0.0104916176628492
"24172",0.311119784229389
"24173",0.165322779767281
"24174",0.871584476738085
"24175",0.0403788242012821
"24176",0.0761388279099333
"24177",0.223960337669721
"24179",0.0434508236521481
"24180",0.249593456654218
"24182",1.32822738290861
"24183",0.00488522534656351
"24184",0.00984707028899153
"24185",0.00411153437450862
"24186",0.0684964636589439
"24188",0.0190175428514799
"24189",0.00337444028703654
"24190",0.567879702469738
"24191",0.00822828298058876
"24192",0.00718051550298916
"24197",0.483088175794943
"24203",0.485269937500198
"24205",0.0309809942159172
"24206",0.00665382754812388
"24208",0.0582957832274273
"24209",0.107852594725354
"24210",0.238665915496631
"24211",0.0323753048789458
"24212",0.00541678730901578
"24213",0.0182020452685342
"24214",0.00884403820745343
"24215",0.0216002217845831
"24216",0.229786592066219
"24217",0.357589272414741
"24218",0.0246966337948502
"24221",1.27410537639782
"24223",0.00929802692979749
"24224",0.0452634015704969
"24225",0.0650350936564193
"24230",0.0383539875710915
"24231",0.0254461855878654
"24232",0.0179978365930439
"24233",0.0241488907433248
"24235",0.576537520288987
"24236",0.159344314662365
"24237",0.398801294038546
"24239",0.0194403000180904
"24240",0.0089826595999632
"24241",0.419132625582747
"24242",0.00377372678041808
"24244",0.00538664874973735
"24245",0.0103287871656364
"24246",0.0621109657522944
"24247",0.466312306908723
"24248",0.00977826213466727
"24249",0.42710640502065
"24250",0.00750887616026099
"24251",0.0276629343750243
"24252",0.0316828543949092
"24253",0.08835222415013
"24254",0.363221004398756
"24255",0.528363180603525
"24257",0.413901738397678
"24258",0.00666699373995226
"24259",0.0086703686116945
"24260",0.0308476886720886
"24261",0.111066874578809
"24264",0.00507152970810311
"24265",0.17603024577841
"24267",0.00619234848801465
"24268",0.0431376520166163
"24273",0.62891726811897
"24278",0.204850691293224
"24291",0.177727291846154
"24294",0.548671137983295
"24296",0.473427513105877
"24298",0.194242477434614
"24299",0.433668536822865
"24303",0.225735742198652
"24307",0.0679527184886859
"24309",0.0181879221033189
"24310",0.217410701144209
"24311",0.0830842523189442
"24312",0.0388533803418368
"24314",0.0125485189830603
"24316",0.366006429199687
"24318",0.73010860980496
"24323",0.123303420104241
"24326",0.0526632425994989
"24329",0.0231643894318819
"24330",0.0894194832711449
"24331",0.383637554813315
"24332",0.368418727401748
"24333",0.00534611469353055
"24334",0.00335391188283041
"24335",0.468193375867893
"24336",0.245768189420139
"24337",0.0409666243461962
"24338",0.00989699409820878
"24356",0.0148614370263962
"24361",0.0160641998827229
"24362",0.321596097493663
"24367",0.465629741472267
"24368",0.00805972432501939
"24370",0.0653476247947756
"24373",0.0791125560808213
"24375",0.00884992418721156
"24377",0.0051953089454019
"24379",0.025479846289959
"24380",0.021766463764792
"24382",0.0113523951247165
"24383",0.00594733782479175
"24385",0.4439703704041
"24387",0.0162411420212777
"24388",0.365958901776748
"24390",0.050989160978026
"24391",2.11170517549078
"24392",0.0131172061004059
"24397",0.0850564463246812
"24398",0.0120341204364721
"24399",0.00955475108958746
"24400",0.00314316492698111
"24401",0.00595329807129429
"24404",0.0145822794946587
"24406",0.0152569890370449
"24407",0.0150759561483246
"24408",0.0038878199714438
"24409",0.087520301332766
"24410",0.0296635544103031
"24411",0.0184660150146423
"24412",0.0810729893499448
"24413",0.00872791599686413
"24414",0.0204478618197692
"24415",0.0252767664494415
"24416",0.00939712619741774
"24417",0.119599059000279
"24418",0.0225704776389164
"24419",0.302084355252428
"24420",0.00467348455380858
"24421",0.0134491537926087
"24423",0.0142500986132866
"24424",0.177949849868554
"24426",0.0085055701236907
"24434",0.022847953552006
"24437",0.00681871022645094
"24438",0.539832323291183
"24439",0.00727182120077182
"24440",0.0662688519746527
"24443",0.181547093231075
"24446",0.168310322156476
"24448",0.024568090152201
"24450",0.0560703813267284
"24451",0.0253156705899627
"24464",0.156688455474979
"24465",0.00956235502223608
"24468",0.00462166181452462
"24471",0.035542836539909
"24472",0.0635950577594225
"24473",0.0949423688388114
"24476",0.276961298599749
"24477",0.327108540195352
"24479",0.00642193657346594
"24482",0.0382846259155115
"24483",0.257068871106451
"24484",0.0211025162528958
"24493",0.33678956115683
"24494",0.749292773573175
"24499",0.0273696749305449
"24500",0.431671327538565
"24503",0.0153589355932999
"24504",0.0187147268840367
"24506",0.0301592591958074
"24508",0.0173234978405707
"24511",0.00657763623386997
"24513",0.00634876604992994
"24514",0.0141679288943493
"24516",0.00838200839823642
"24517",0.0520472430874497
"24518",0.00947140929991649
"24520",0.0116361588810492
"24521",0.373695382540387
"24522",0.0259527196857162
"24525",0.0162938365332965
"24530",0.018716092313818
"24533",0.00918649912749808
"24534",0.00629657145570119
"24536",0.111336059117006
"24539",0.0459270777824274
"24546",0.0618868053424812
"24547",0.0324735688161088
"24551",0.0063333614528911
"24552",0.00896908670814267
"24553",0.0647210193003533
"24558",0.0121904800306782
"24559",0.481210276572788
"24560",0.0122312955740222
"24561",0.0157447105149624
"24564",0.219585054493687
"24565",0.0064578384673161
