"","GSE96961_enriched environment"
"11302",0.337
"11303",-0.1538
"11304",1.9818
"11305",-0.5183
"11306",0.5858
"11307",-0.5154
"11308",2.0843
"11350",1.0562
"11352",1.7624
"11363",-2.1658
"11364",1.3539
"11370",-1.1912
"11409",1.6257
"11416",-0.2993
"11418",-1.615
"11419",-1.6753
"11421",-1.0677
"11423",-0.134
"11426",0.4204
"11428",-1.0481
"11429",-1.414
"11430",0.6238
"11431",0.7281
"11432",-0.6262
"11433",0.6962
"11434",0.4265
"11435",0.6742
"11438",-3.0929
"11441",1.2151
"11443",0.3024
"11444",0.2621
"11459",1.2965
"11472",0.0067
"11474",0.0633
"11475",-1.6515
"11477",2.7927
"11479",0.9536
"11480",-0.9403
"11481",-1.6207
"11482",0.159
"11484",-1.627
"11486",-0.3746
"11487",0.1777
"11488",0.3028
"11489",-0.2341
"11490",-0.5352
"11491",-0.735
"11492",0.1687
"11496",0.7104
"11498",-0.4608
"11501",0.1967
"11502",1.4148
"11504",0.415
"11512",-0.3015
"11513",-0.2754
"11514",-0.4912
"11515",2.7992
"11516",0.2448
"11517",-1.682
"11518",1.1449
"11519",1.704
"11520",0.3717
"11522",-1.2919
"11532",-1.0577
"11534",-0.5075
"11535",1.5303
"11536",0.4838
"11538",0.8669
"11539",1.6144
"11540",0.3973
"11541",0.3547
"11542",0.8197
"11544",0.6895
"11545",2.1338
"11546",-0.083
"11548",-1.9609
"11549",-1.0746
"11550",1.8748
"11551",-0.6686
"11553",-0.4654
"11554",-0.2755
"11555",-0.547
"11556",0.2881
"11564",-1.3546
"11565",-2.2374
"11566",-1.5037
"11567",0.3372
"11568",-1.1058
"11569",-0.0049
"11593",0.1739
"11595",1.901
"11596",0.6591
"11600",-0.5261
"11601",0.9946
"11603",1.4835
"11605",-1.231
"11606",-2.2735
"11607",-1.2989
"11609",0.2326
"11610",-0.5383
"11615",1.1267
"11622",-0.8104
"11624",-0.504
"11629",0.1122
"11630",0.3631
"11632",-0.3883
"11634",-0.0994
"11636",-1.295
"11637",-0.3827
"11639",1.0665
"11640",1.4918
"11642",-0.041
"11647",-0.2459
"11651",-0.7976
"11652",2.6478
"11655",0.8833
"11656",2.9104
"11658",-0.645
"11666",-0.1143
"11668",3.5241
"11669",-1.9751
"11670",-0.2555
"11671",-0.1972
"11676",-2.0159
"11677",0.2551
"11682",0.1722
"11684",-0.1567
"11686",1.3159
"11687",-0.8298
"11688",-0.5712
"11689",-0.6078
"11690",0.4222
"11692",-0.4144
"11695",-1.328
"11702",-0.2
"11705",0.3955
"11717",-1.0854
"11722",-1.8074
"11727",-0.8818
"11732",-0.4391
"11733",-1.2147
"11735",0.7319
"11736",1.3297
"11737",-0.1839
"11739",-1.1488
"11740",-0.3461
"11744",3.6798
"11745",1.3775
"11746",0.2492
"11747",-0.8163
"11749",0.4588
"11750",-0.7065
"11752",-0.9458
"11754",-0.6905
"11757",-0.46
"11758",-2.6596
"11761",-0.8993
"11764",-0.6655
"11765",2.0933
"11766",-1.5121
"11767",-0.7624
"11768",-0.4265
"11769",0.877
"11771",0.9529
"11772",0.9288
"11773",-0.8995
"11774",1.7521
"11775",0.126
"11776",0.2255
"11777",0.3244
"11778",0.0425
"11781",-1.8058
"11782",-1.3058
"11783",0.0237
"11784",1.4835
"11785",-1.2576
"11787",0.7781
"11789",-0.1311
"11790",-0.0996
"11792",1.7069
"11793",1.3662
"11796",0.5875
"11797",-0.0766
"11798",0.094
"11799",-0.9132
"11800",0.3602
"11804",-0.477
"11806",-0.7744
"11807",-2.3419
"11810",0.397
"11811",-0.7798
"11812",-1.6375
"11814",-0.1906
"11815",-2.5478
"11818",-0.3025
"11819",-0.8145
"11820",-0.549
"11821",0.673
"11826",0.449
"11829",1.3997
"11834",-0.1225
"11835",-0.2275
"11836",-0.077
"11837",-0.7273
"11838",1.2267
"11840",0.506
"11841",-0.0642
"11842",1.2116
"11843",0.5042
"11844",-0.6219
"11845",-0.5318
"11847",-1.8408
"11848",0.0943
"11852",-0.0894
"11853",-0.5354
"11854",-1.0656
"11855",1.0236
"11856",-1.0106
"11857",0.2051
"11858",-2.2609
"11861",-1.3018
"11863",0.8212
"11864",0.2643
"11865",2.3053
"11867",0.5859
"11876",0.6276
"11877",1.7015
"11878",-3.6353
"11881",0.9515
"11883",1.2362
"11886",0.2328
"11889",-1.5355
"11891",0.5874
"11898",-2.0317
"11899",0.7154
"11906",-0.9017
"11907",0.3517
"11908",1.6419
"11909",0.1602
"11910",3.2447
"11911",-1.3607
"11920",0.7351
"11922",1.3193
"11923",1.0177
"11924",-0.9078
"11927",-1.3957
"11928",0.187
"11932",-1.2399
"11933",-2.0318
"11936",0.6521
"11937",0.7365
"11938",0.6721
"11941",2.2171
"11944",1.7638
"11949",-1.4432
"11950",-1.1107
"11951",-0.8496
"11957",-1.4776
"11958",-1.0856
"11964",1.0544
"11966",-0.3723
"11972",-0.163
"11973",-1.3648
"11974",-0.2781
"11975",-0.3653
"11977",1.3795
"11979",-1.1868
"11980",0.7796
"11981",-0.3778
"11982",0.4825
"11983",-1.1956
"11987",0.8467
"11988",-0.2223
"11989",-0.8518
"11990",1.0203
"11991",-1.0121
"11992",-0.6872
"11993",-0.8694
"11994",-0.481
"11998",-0.4692
"12005",0.4743
"12006",1.7585
"12009",-0.4749
"12010",-0.033
"12012",0.5452
"12013",0.6019
"12014",0.9221
"12015",-0.1168
"12017",-0.6587
"12018",0.7104
"12021",-1.4243
"12023",-0.9812
"12028",0.0708
"12029",-0.2816
"12032",-1.9477
"12033",0.874
"12034",-0.6023
"12035",-0.5634
"12036",-0.3693
"12038",-0.4681
"12039",-0.2617
"12040",-0.4217
"12041",0.3687
"12042",0.4936
"12043",0.3119
"12045",-1.4934
"12048",-0.1751
"12050",-1.4642
"12051",0.3022
"12053",-0.114
"12054",-0.2992
"12055",-2.0781
"12062",-1.8205
"12064",5.2713
"12068",-0.9917
"12069",-1.6724
"12070",-1.5771
"12075",-0.6618
"12091",0.397
"12095",-2.5971
"12111",-0.8494
"12121",-0.3857
"12122",0.0953
"12123",-1.6225
"12125",-0.224
"12140",0.5565
"12142",0.2847
"12144",1.0087
"12151",0.8782
"12153",-0.4907
"12156",-0.2693
"12159",-0.7966
"12160",0.799
"12161",1.0074
"12162",-0.467
"12166",-0.6216
"12167",-0.805
"12168",1.1166
"12169",-0.2197
"12175",0.7172
"12176",-0.7652
"12177",-0.4341
"12180",1.9568
"12181",1.1297
"12182",0.697
"12183",0.4889
"12189",2.0804
"12190",-0.1696
"12192",-0.6848
"12193",-1.832
"12211",1.3287
"12212",0.9948
"12215",-0.2919
"12217",2.3035
"12223",-0.3265
"12224",-0.0534
"12226",-0.4277
"12227",0.3194
"12228",-0.612
"12229",0.5705
"12234",-0.001
"12236",1.0712
"12237",1.4681
"12238",0.6897
"12257",0.7493
"12258",-0.5662
"12259",0.5271
"12260",0.3225
"12261",-0.0916
"12262",0.4723
"12263",-0.2302
"12265",-0.4533
"12266",0.6847
"12267",0.9897
"12268",-0.33
"12269",-0.399
"12273",1.9652
"12282",1.0173
"12283",-0.1616
"12286",0.7441
"12287",0.7696
"12288",1.6695
"12289",0.7261
"12290",2.0334
"12291",0.0285
"12292",0.2341
"12293",1.0332
"12294",0.6825
"12295",0.5354
"12296",1.7891
"12297",0.1796
"12298",0.0232
"12300",0.6444
"12301",-1.2679
"12304",1.2297
"12305",0.3642
"12306",0.0871
"12307",-1.3343
"12308",-0.7504
"12310",-1.6119
"12316",0.2709
"12317",0.6519
"12319",-1.597
"12321",0.3082
"12325",-1.4273
"12326",-0.683
"12328",-0.3096
"12330",-0.3414
"12331",1.3608
"12332",-1.0911
"12333",1.3019
"12334",-0.43
"12335",-0.2705
"12336",-0.4279
"12337",-0.0614
"12338",0.935
"12339",0.2164
"12340",0.2388
"12343",0.4808
"12345",-0.2602
"12348",-1.3386
"12349",-1.3262
"12351",1.7968
"12352",1.8267
"12354",0.1149
"12355",1.8724
"12359",0.4591
"12361",1.2167
"12362",-0.5507
"12363",-0.5852
"12364",-1.4422
"12366",0.7966
"12367",-0.2638
"12368",-0.7136
"12369",0.1185
"12370",-0.197
"12371",0.8141
"12372",0.1174
"12373",2.5265
"12380",-0.9651
"12385",-1.883
"12386",-0.0465
"12387",-0.0209
"12388",-0.3491
"12389",-0.2551
"12390",-1.1382
"12391",-0.358
"12393",-0.6547
"12394",-0.387
"12395",-1.0482
"12396",1.0229
