"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_166916_coefficient","contrast_166916_log2fc","contrast_166916_tstat","contrast_166916_pvalue","contrast_166917_coefficient","contrast_166917_log2fc","contrast_166917_tstat","contrast_166917_pvalue","contrast_166919_coefficient","contrast_166919_log2fc","contrast_166919_tstat","contrast_166919_pvalue"
"1",20677,20677,"ENSMUSG00000076431","Sox4","SRY (sex determining region Y)-box 4",7.476e-07,0.014,4.846e-05,0.2588,0.2588,4.9391,4.967e-05,0.2175,0.2175,4.2232,3e-04,-0.0934,-0.0934,-1.5567,0.1327
"2",105244756,105244756,"","Gm40309","predicted gene, 40309",1.358e-06,0.014,9.692e-05,0.8373,0.8373,6.3819,1.4e-06,0.493,0.493,3.7216,0.0011,0.0886,0.0886,0.5703,0.5739
"3",20666,20666,"ENSMUSG00000063632","Sox11","SRY (sex determining region Y)-box 11",2.719e-06,0.014,2e-04,0.4057,0.4057,4.4139,2e-04,0.4858,0.4858,5.405,1.54e-05,-0.0314,-0.0314,-0.2963,0.7696
"4",93880,93880,"ENSMUSG00000051242","Pcdhb9","protocadherin beta 9",2.133e-06,0.014,1e-04,-0.3097,-0.3097,-4.7081,8.909e-05,-0.3508,-0.3508,-5.4334,1.435e-05,0.0158,0.0158,0.2213,0.8267
"5",12741,12741,"ENSMUSG00000041378","Cldn5","claudin 5",3.602e-06,0.0149,2e-04,0.5839,0.5839,5.5306,1.126e-05,0.6416,0.6416,6.2001,2.172e-06,0.2107,0.2107,1.7533,0.0924
"6",68465,68465,"ENSMUSG00000030168","Adipor2","adiponectin receptor 2",4.472e-06,0.0154,3e-04,-0.4544,-0.4544,-6.5695,8.936e-07,-0.3174,-0.3174,-4.7137,8.784e-05,-0.1389,-0.1389,-1.7998,0.0846
"7",21973,21973,"ENSMUSG00000020914","Top2a","topoisomerase (DNA) II alpha",6.882e-06,0.0158,4e-04,0.2748,0.2748,1.7314,0.0963,0.4402,0.4402,2.8614,0.0087,-0.7325,-0.7325,-3.6419,0.0013
"8",14389,14389,"ENSMUSG00000004508","Gab2","growth factor receptor bound protein 2-associated protein 2",5.809e-06,0.0158,3e-04,-0.1346,-0.1346,-2.8797,0.0083,-0.1342,-0.1342,-2.9321,0.0073,0.1426,0.1426,2.7747,0.0106
"9",77125,77125,"ENSMUSG00000024810","Il33","interleukin 33",6.59e-06,0.0158,4e-04,-0.3334,-0.3334,-4.3328,2e-04,-0.2896,-0.2896,-3.8542,8e-04,0.1061,0.1061,1.2377,0.2279
"10",53417,53417,"ENSMUSG00000004328","Hif3a","hypoxia inducible factor 3, alpha subunit",8.204e-06,0.0169,5e-04,-1.3228,-1.3228,-5.8383,5.258e-06,-1.296,-1.296,-5.9106,4.402e-06,-0.7859,-0.7859,-3.2593,0.0034
"11",13655,13655,"ENSMUSG00000033730","Egr3","early growth response 3",9.621e-06,0.018,5e-04,0.1728,0.1728,3.275,0.0032,0.284,0.284,5.5111,1.182e-05,0.0038,0.0038,0.063,0.9503
"12",12268,12268,"ENSMUSG00000073418","C4b","complement C4B (Chido blood group)",1.08e-05,0.0186,6e-04,-0.458,-0.458,-5.2281,2.399e-05,-0.3638,-0.3638,-4.26,3e-04,-0.0106,-0.0106,-0.1094,0.9138
"13",22436,22436,"ENSMUSG00000024066","Xdh","xanthine dehydrogenase",1.453e-05,0.0188,7e-04,-0.9164,-0.9164,-6.139,2.519e-06,-0.6306,-0.6306,-4.4751,2e-04,-0.2874,-0.2874,-1.8388,0.0785
"14",217258,217258,"ENSMUSG00000041828","Abca8a","ATP-binding cassette, sub-family A member 8a",1.303e-05,0.0188,6e-04,-0.401,-0.401,-4.6861,9.418e-05,-0.3228,-0.3228,-3.8844,7e-04,0.0534,0.0534,0.578,0.5687
"15",20442,20442,"ENSMUSG00000013846","St3gal1","ST3 beta-galactoside alpha-2,3-sialyltransferase 1",1.456e-05,0.0188,8e-04,0.463,0.463,5.2399,2.329e-05,0.5465,0.5465,6.3255,1.604e-06,0.3155,0.3155,3.1789,0.0041
"16",13712,13712,"ENSMUSG00000009406","Elk1","ELK1, member of ETS oncogene family",1.449e-05,0.0188,7e-04,0.2036,0.2036,4.0327,5e-04,0.282,0.282,5.7169,7.094e-06,0.0514,0.0514,0.9025,0.3759
"17",214580,214580,"ENSMUSG00000063179","Pstk","phosphoseryl-tRNA kinase",1.991e-05,0.0242,8e-04,-0.1365,-0.1365,-2.165,0.0407,-0.1982,-0.1982,-3.1927,0.0039,0.1642,0.1642,2.4088,0.0241
"18",230872,230872,"ENSMUSG00000040860","Crocc","ciliary rootlet coiled-coil, rootletin",2.608e-05,0.0267,9e-04,0.3695,0.3695,4.9797,4.483e-05,0.0837,0.0837,1.1437,0.2641,-0.0014,-0.0014,-0.0168,0.9867
"19",67845,67845,"ENSMUSG00000028098","Rnf115","ring finger protein 115",2.75e-05,0.0267,0.001,-0.1546,-0.1546,-4.2473,3e-04,-0.0161,-0.0161,-0.4539,0.654,0.0498,0.0498,1.2233,0.2332
