"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_207422_coefficient","contrast_207422_log2fc","contrast_207422_tstat","contrast_207422_pvalue"
"1",64706,64706,"ENSMUSG00000016763","Scube1","signal peptide, CUB domain, EGF-like 1",1.512e-06,0.032,4.734e-05,0.4475,0.4475,7.641,1.512e-06
"2",330319,330319,"ENSMUSG00000086040","Wipf3","WAS/WASL interacting protein family, member 3",4.363e-05,0.0791,3e-04,0.2676,0.2676,5.6812,4.363e-05
"3",235320,235320,"ENSMUSG00000066687","Zbtb16","zinc finger and BTB domain containing 16",5.988e-05,0.0791,8e-04,-0.3321,-0.3321,-5.5111,5.988e-05
"4",53324,53324,"ENSMUSG00000059991","Nptx2","neuronal pentraxin 2",5.13e-05,0.0791,5e-04,0.4458,0.4458,5.594,5.13e-05
"5",19225,19225,"ENSMUSG00000032487","Ptgs2","prostaglandin-endoperoxide synthase 2",3.536e-05,0.0791,2e-04,0.3626,0.3626,5.7954,3.536e-05
"6",241638,241638,"ENSMUSG00000037703","Lzts3","leucine zipper, putative tumor suppressor family member 3",3.523e-05,0.0791,2e-04,-0.266,-0.266,-5.7974,3.523e-05
"7",11931,11931,"ENSMUSG00000026576","Atp1b1","ATPase, Na+/K+ transporting, beta 1 polypeptide",3.8e-05,0.0791,3e-04,0.1692,0.1692,5.7561,3.8e-05
"8",18483,18483,"ENSMUSG00000035863","Palm","paralemmin",5.254e-05,0.0791,6e-04,-0.2274,-0.2274,-5.5812,5.254e-05
"9",17926,17926,"ENSMUSG00000026697","Myoc","myocilin",4.48e-05,0.0791,4e-04,-0.3495,-0.3495,-5.6669,4.48e-05
"10",100041576,100041576,"ENSMUSG00000015882","Gm3414","predicted gene 3414",5.657e-05,0.0791,7e-04,1.3941,1.3941,5.5415,5.657e-05
"11",13841,13841,"ENSMUSG00000028289","Epha7","Eph receptor A7",4.842e-05,0.0791,5e-04,0.2336,0.2336,5.6251,4.842e-05
"12",13840,13840,"ENSMUSG00000055540","Epha6","Eph receptor A6",4.704e-05,0.0791,4e-04,0.213,0.213,5.6406,4.704e-05
"13",105247234,105247234,"","Gm42368","predicted gene, 42368",1.429e-05,0.0791,9.467e-05,-0.6359,-0.6359,-6.2991,1.429e-05
"14",29867,29867,"ENSMUSG00000029544","Cabp1","calcium binding protein 1",5.804e-05,0.0791,7e-04,-0.2667,-0.2667,-5.5278,5.804e-05
"15",56812,56812,"ENSMUSG00000026203","Dnajb2","DnaJ heat shock protein family (Hsp40) member B2",3.391e-05,0.0791,1e-04,-0.2898,-0.2898,-5.8182,3.391e-05
"16",56013,56013,"ENSMUSG00000038453","Srcin1","SRC kinase signaling inhibitor 1",7.345e-05,0.0807,9e-04,-0.2319,-0.2319,-5.4024,7.345e-05
"17",16011,16011,"ENSMUSG00000026185","Igfbp5","insulin-like growth factor binding protein 5",7.478e-05,0.0807,9e-04,-0.2308,-0.2308,-5.3929,7.478e-05
"18",100039863,100039863,"ENSMUSG00000073877","Ccl27al","C-C motif chemokine ligand 27A like",7.043e-05,0.0807,8e-04,-1.0011,-1.0011,-5.4247,7.043e-05
"19",20442,20442,"ENSMUSG00000013846","St3gal1","ST3 beta-galactoside alpha-2,3-sialyltransferase 1",7.64e-05,0.0807,9e-04,-0.3579,-0.3579,-5.3816,7.64e-05
"20",18627,18627,"ENSMUSG00000055866","Per2","period circadian clock 2",9.194e-05,0.0856,0.001,0.303,0.303,5.2839,9.194e-05
"21",51789,51789,"ENSMUSG00000022791","Tnk2","tyrosine kinase, non-receptor, 2",1e-04,0.0856,0.0012,-0.2243,-0.2243,-5.2063,1e-04
"22",246198,246198,"ENSMUSG00000038437","Mllt6","myeloid/lymphoid or mixed-lineage leukemia; translocated to, 6",1e-04,0.0856,0.0011,-0.2427,-0.2427,-5.2357,1e-04
"23",66776,66776,"","Pisd-ps3","phosphatidylserine decarboxylase, pseudogene 3",1e-04,0.0856,0.0013,-0.5518,-0.5518,-5.1929,1e-04
"24",12315,12315,"ENSMUSG00000019370","Calm3","calmodulin 3",9.401e-05,0.0856,0.0011,-0.1795,-0.1795,-5.2722,9.401e-05
"25",73010,73010,"ENSMUSG00000044067","Gpr22","G protein-coupled receptor 22",1e-04,0.0856,0.0012,0.2097,0.2097,5.2118,1e-04
"26",80297,80297,"ENSMUSG00000011751","Sptbn4","spectrin beta, non-erythrocytic 4",8.511e-05,0.0856,0.001,-0.3378,-0.3378,-5.3245,8.511e-05
"27",72168,72168,"ENSMUSG00000022763","Aifm3","apoptosis-inducing factor, mitochondrion-associated 3",1e-04,0.0881,0.0013,-0.3173,-0.3173,-5.1586,1e-04
"28",13063,13063,"ENSMUSG00000063694","Cycs","cytochrome c, somatic",1e-04,0.0933,0.0014,0.2424,0.2424,5.0852,1e-04
"29",64296,64296,"ENSMUSG00000007950","Abhd8","abhydrolase domain containing 8",1e-04,0.0933,0.0015,-0.2906,-0.2906,-5.0757,1e-04
"30",12064,12064,"ENSMUSG00000048482","Bdnf","brain derived neurotrophic factor",1e-04,0.0933,0.0014,0.2575,0.2575,5.1083,1e-04
"31",406218,406218,"ENSMUSG00000058441","Panx2","pannexin 2",1e-04,0.0938,0.0015,-0.2674,-0.2674,-5.0569,1e-04
"32",19419,19419,"ENSMUSG00000027347","Rasgrp1","RAS guanyl releasing protein 1",2e-04,0.0942,0.0017,0.1757,0.1757,4.9936,2e-04
"33",226098,226098,"ENSMUSG00000041180","Hectd2","HECT domain E3 ubiquitin protein ligase 2",2e-04,0.0942,0.0018,0.3305,0.3305,4.9485,2e-04
"34",75668,75668,"ENSMUSG00000034209","Rasl10a","RAS-like, family 10, member A",2e-04,0.0942,0.0025,-0.4571,-0.4571,-4.8051,2e-04
"35",59095,59095,"ENSMUSG00000066705","Fxyd6","FXYD domain-containing ion transport regulator 6",2e-04,0.0942,0.0023,-0.2444,-0.2444,-4.8443,2e-04
"36",101056014,101056014,"","AY036118","cDNA sequence AY036118",2e-04,0.0942,0.0018,-0.5289,-0.5289,-4.9329,2e-04
"37",229599,229599,"ENSMUSG00000038550","Ciart","circadian associated repressor of transcription",2e-04,0.0942,0.002,0.6852,0.6852,4.9028,2e-04
"38",259277,259277,"ENSMUSG00000064023","Klk8","kallikrein related-peptidase 8",2e-04,0.0942,0.0024,0.45,0.45,4.8142,2e-04
"39",238276,238276,"ENSMUSG00000021057","Akap5","A kinase anchor protein 5",2e-04,0.0942,0.002,-0.2231,-0.2231,-4.8806,2e-04
"40",233271,233271,"ENSMUSG00000063297","Luzp2","leucine zipper protein 2",2e-04,0.0942,0.0023,0.2118,0.2118,4.8256,2e-04
"41",217219,217219,"ENSMUSG00000034685","Fam171a2","family with sequence similarity 171, member A2",2e-04,0.0942,0.0016,-0.3261,-0.3261,-5.0215,2e-04
"42",239556,239556,"ENSMUSG00000022416","Cacna1i","calcium channel, voltage-dependent, alpha 1I subunit",2e-04,0.0942,0.0022,-0.2719,-0.2719,-4.8492,2e-04
"43",245469,245469,"ENSMUSG00000002006","Pdzd4","PDZ domain containing 4",2e-04,0.0942,0.0017,-0.2135,-0.2135,-4.9892,2e-04
"44",241770,241770,"ENSMUSG00000035226","Rims4","regulating synaptic membrane exocytosis 4",2e-04,0.0942,0.0024,-0.3304,-0.3304,-4.8192,2e-04
"45",194590,194590,"ENSMUSG00000040855","Reps2","RALBP1 associated Eps domain containing protein 2",2e-04,0.0942,0.0016,0.1854,0.1854,4.9944,2e-04
"46",217944,217944,"ENSMUSG00000041992","Rapgef5","Rap guanine nucleotide exchange factor (GEF) 5",2e-04,0.0942,0.0019,0.2109,0.2109,4.904,2e-04
"47",66594,66594,"ENSMUSG00000020163","Uqcr11","ubiquinol-cytochrome c reductase, complex III subunit XI",2e-04,0.0942,0.0018,-0.3245,-0.3245,-4.9693,2e-04
"48",574437,574437,"ENSMUSG00000073125","Xlr3b","X-linked lymphocyte-regulated 3B",2e-04,0.0942,0.0019,1.3748,1.3748,4.9167,2e-04
"49",83762,83762,"ENSMUSG00000062372","Otof","otoferlin",2e-04,0.0942,0.0022,-0.6259,-0.6259,-4.8487,2e-04
"50",20104,20104,"ENSMUSG00000028495","Rps6","ribosomal protein S6",2e-04,0.0983,0.0025,-0.1947,-0.1947,-4.7736,2e-04
"51",228355,228355,"ENSMUSG00000040687","Madd","MAP-kinase activating death domain",3e-04,0.0998,0.0026,-0.194,-0.194,-4.756,3e-04
"52",56409,56409,"ENSMUSG00000024213","Nudt3","nudix hydrolase 3",3e-04,0.1009,0.0027,-0.1926,-0.1926,-4.7209,3e-04
"53",56433,56433,"ENSMUSG00000029462","Vps29","VPS29 retromer complex component",3e-04,0.1009,0.0026,0.2315,0.2315,4.7402,3e-04
"54",72844,72844,"ENSMUSG00000033287","Kctd17","potassium channel tetramerisation domain containing 17",3e-04,0.1009,0.0028,-0.2484,-0.2484,-4.7055,3e-04
"55",83701,83701,"ENSMUSG00000037364","Srrt","serrate RNA effector molecule homolog (Arabidopsis)",3e-04,0.1009,0.0027,-0.2674,-0.2674,-4.7241,3e-04
"56",20482,20482,"ENSMUSG00000027660","Skil","SKI-like",3e-04,0.1009,0.0027,0.2444,0.2444,4.7106,3e-04
